Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
protein phosphorylation (GO:0006468)	23/496	1.7902473379217382E-6	0.0022660043579032845	0	0	3.387596899224806	44.82860084116815	EPHA4;CDKL5;MAST3;MINK1;LMTK2;PIK3CD;PRKCZ;MAPK13;IGF1R;TGFBR2;NUAK2;GRK5;STK17A;AKT3;STK38;MKNK2;PDK3;PRKD2;ATM;PIM2;JAK3;CDK5R1;JAK1
peptidyl-serine phosphorylation (GO:0018105)	12/156	4.13755064656178E-6	0.0022660043579032845	0	0	5.678571428571429	70.38820163069822	MAST3;AKT3;STK38;MKNK2;PDK3;LMTK2;PRKD2;ATM;PRKCZ;TGFBR2;MAPK13;CDK5R1
cellular response to type I interferon (GO:0071357)	8/65	5.476747692817606E-6	0.0022660043579032845	0	0	9.474407668656177	114.78244056733786	ISG20;IRF2;MX1;IFIT5;HLA-C;HLA-F;IRF9;JAK1
type I interferon signaling pathway (GO:0060337)	8/65	5.476747692817606E-6	0.0022660043579032845	0	0	9.474407668656177	114.78244056733786	ISG20;IRF2;MX1;IFIT5;HLA-C;HLA-F;IRF9;JAK1
peptidyl-serine modification (GO:0018209)	12/169	9.417239762251983E-6	0.0028426020620686042	0	0	5.204909119154886	60.23624944365022	MAST3;AKT3;STK38;MKNK2;PDK3;LMTK2;PRKD2;ATM;PRKCZ;TGFBR2;MAPK13;CDK5R1
phosphorylation (GO:0016310)	19/400	1.03055059652034E-5	0.0028426020620686042	0	0	3.440944881889764	39.511792845874936	CDKL5;CERK;MINK1;LMTK2;PIK3CD;PRKCZ;TGFBR2;NUAK2;GRK5;STK17A;AKT3;STK38;MKNK2;PDK3;PRKD2;ATM;PIM2;JAK3;JAK1
protein autophosphorylation (GO:0046777)	10/159	1.441779899269552E-4	0.03408779618987298	0	0	4.5405355193794845	40.15859377225643	EPHA4;CDKL5;GRK5;MINK1;MKNK2;LMTK2;PRKD2;ATM;PIM2;IGF1R
stress-activated MAPK cascade (GO:0051403)	6/62	3.232208883342608E-4	0.0668663212741502	0	0	7.183690882496343	57.73657792133382	SH2D3A;MINK1;SH2D3C;CCM2;ZFP36L1;MAPK13
cytokine-mediated signaling pathway (GO:0019221)	21/621	4.591862634655302E-4	0.07710855209193289	0	0	2.404802158273381	18.483440756728335	TRIM62;CDKN1B;IL4R;MX1;IFIT5;HLA-C;PIK3CD;IL16;IRAK4;HLA-F;FOXO1;PSMB9;ISG20;CNN2;AIM2;IRF2;RAPGEF1;TNFRSF14;JAK3;IRF9;JAK1
interferon-gamma-mediated signaling pathway (GO:0060333)	6/68	5.340301410452955E-4	0.07710855209193289	0	0	6.486513266541891	48.87625547592848	TRIM62;IRF2;HLA-C;HLA-F;IRF9;JAK1
positive regulation of cytokine production (GO:0001819)	14/335	5.537754764207725E-4	0.07710855209193289	0	0	2.965732087227414	22.23928713867553	ZBP1;BTN3A1;DDX58;PIK3CD;IL16;BTN3A2;PRKCZ;RASGRP1;TIRAP;MALT1;MAPK13;NFKB2;PRKD2;TNFRSF14
defense response to symbiont (GO:0140546)	8/124	5.590952417541962E-4	0.07710855209193289	0	0	4.641545206778054	34.76141729144406	ZBP1;ISG20;DDX58;IRF2;MX1;IFIT5;NLRC5;IFI44L
defense response to virus (GO:0051607)	8/133	8.867779815366462E-4	0.1128936584187038	0	0	4.305374570446736	30.25781044064545	ZBP1;ISG20;DDX58;IRF2;MX1;IFIT5;NLRC5;IFI44L
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	3/14	0.0010655402463893991	0.1259620791267468	0	0	18.14189189189189	124.16806691914292	TAP2;TAP1;HLA-F
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	4/33	0.0014234063934448278	0.15704917207674599	0	0	9.197895967270602	60.28947087682412	TAP2;HLA-C;TAP1;HLA-F
phosphatidylinositol 3-kinase signaling (GO:0014065)	4/34	0.0015944180948107894	0.16373156072660658	0	0	8.89084745762712	57.26813953637444	PIK3CD;IGF1R;PIK3R5;ZFP36L1
regulation of gene expression (GO:0010468)	29/1079	0.0016818347627506414	0.16373156072660658	0	0	1.907862433862434	12.187177130631538	BTG1;PLAG1;PHF1;PIK3CD;ARNTL;ZFP36L1;MECP2;ATXN1;TRIM4;ZNF506;ZNF626;METTL4;WWC3;BTN3A1;DDX58;ZBTB38;MSL3;BTN3A3;SERPINB9;BTN3A2;NFKB2;ZNF33A;ADAM19;RBL2;TNRC6C;IRF2;ZNF217;ATM;ZNF398
regulation of transcription by RNA polymerase II (GO:0006357)	50/2206	0.001800902278107852	0.16558295945936083	0	0	1.634087369887714	10.326561983771427	CRTC2;MAML2;ZBTB24;PSIP1;IKZF1;NR3C2;MECP2;WWC3;NCK2;RNF111;ZHX2;SP110;DDX58;ZBTB38;KAT2B;THAP5;IRF2;PRKD2;KDM7A;IRF9;ZNF398;PPARD;ZNF394;AKNA;PLAG1;ZNF518B;SP140;NLRC5;FOXO1;ARNTL;ATXN1;TBL1X;HIVEP2;ZNF101;ZBTB18;CBX7;PCGF5;KLF2;NFKB2;TADA2B;ZNF33A;TNRC6C;CREBRF;ZNF217;ATM;ZNF354A;SP140L;EZH1;ZNF652;ZNF211
regulation of nucleic acid-templated transcription (GO:1903506)	15/430	0.002178475515485112	0.18975668305936108	0	0	2.454522314610555	15.044086235429031	BTG1;PLAG1;PHF1;ZBTB38;MSL3;ARNTL;NFKB2;ZNF33A;ATXN1;ZNF506;IRF2;ZNF626;WWC3;ZNF217;ZNF398
regulation of transcription, DNA-templated (GO:0006355)	50/2244	0.0025650137053622826	0.2122548841187289	0	0	1.6023071319004367	9.559030199226175	BTG1;CDKN1B;ZBTB24;PHF1;PSIP1;IKZF1;NR3C2;MECP2;SCML1;SCML4;WWC3;PIM2;RNF111;ZHX2;SP110;ZBTB38;MSL3;IRF2;KDM7A;IRF9;ZNF398;PPARD;ZNF394;RGS14;PLAG1;ZNF518B;SP140;FOXO1;ARNTL;DEDD2;ATXN1;ZNF506;ZNF626;METTL4;TBL1X;HIVEP2;ZNF101;ZBTB18;PCGF5;KLF2;NFKB2;TADA2B;ZNF33A;CREBRF;ZNF217;ZNF354A;SP140L;ZNF652;CDK5R1;ZNF211
regulation of kinase activity (GO:0043549)	6/94	0.0028774335404903634	0.22325028949049844	0	0	4.563993174061434	26.70326919186355	RBL2;EPHA4;CDKN1B;NLRC5;LMTK2;IGF1R
vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668)	2/6	0.0032112894975567644	0.22325028949049844	0	0	33.15993265993266	190.37391605441363	TAP2;TAP1
morphogenesis of an endothelium (GO:0003159)	2/6	0.0032112894975567644	0.22325028949049844	0	0	33.15993265993266	190.37391605441363	CCM2;PRKD2
long-term synaptic potentiation (GO:0060291)	3/21	0.0036035416660956826	0.22325028949049844	0	0	11.08277027027027	62.34987147269047	RGS14;PRKCZ;VAMP2
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	17/547	0.003756895793824618	0.22325028949049844	0	0	2.1805633614344977	12.176619605158743	ZBTB18;ZHX2;BTG2;CDKN1B;ZBTB38;IKZF1;FOXO1;ARNTL;DEDD2;PATL2;MECP2;ATXN1;SCML1;SCML4;ZNF217;CDK5R1;PPARD
phosphatidylinositol-mediated signaling (GO:0048015)	5/71	0.004206156780080462	0.22325028949049844	0	0	5.059523809523809	27.681696654748816	PLCL2;PIK3CD;IGF1R;PIK3R5;ZFP36L1
