Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mitotic spindle organization (GO:0007052)	25/157	9.808324607030602E-19	1.3570701012626732E-15	0	0	13.526459854014599	560.8866327146509	BUB1B;TTK;KIF11;CCNB1;STMN1;NUF2;RCC1;BUB1;DLGAP5;CENPU;STIL;PLK1;KIF23;ZWINT;TPX2;CENPF;KIF4B;KIFC1;CENPI;PRC1;KIF4A;BIRC5;KIF2C;SPC24;SPC25
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	23/128	1.4995249737709097E-18	1.3570701012626732E-15	0	0	15.552380952380952	638.2912278957227	CENPU;STIL;PLK1;BUB1B;TTK;KIF11;ZWINT;CCNB1;CENPF;ESPL1;KIF4B;CENPI;KIF4A;STMN1;NUF2;NUSAP1;RCC1;BIRC5;KIF2C;BUB1;DLGAP5;SPC24;SPC25
DNA metabolic process (GO:0006259)	28/277	1.5542770618920233E-15	9.377471606748541E-13	0	0	8.07148890766016	275.21973899046066	TOP2A;PCNA;UHRF1;GMNN;HMGB3;MCM10;TYMS;RAD51AP1;ORC6;CDC45;ORC1;EXO1;CHEK1;RAD54L;KPNA2;WDHD1;CDT1;POLQ;RFC3;XRCC2;FANCA;CDC6;TICRR;RAD51;POLE2;CDK1;MCM4;MCM2
mitotic sister chromatid segregation (GO:0000070)	18/102	1.2209409126559086E-14	5.524757629767987E-12	0	0	14.95958312150483	479.25372437122803	SPAG5;CDCA5;PLK1;KIF14;NCAPG;KIF23;SMC4;NCAPH;ZWINT;CCNB1;ESPL1;KIFC1;PRC1;NUSAP1;CDK1;KIF2C;CEP55;DLGAP5
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	11/32	6.772063935787051E-13	2.451487144754912E-10	0	0	35.79365079365079	1002.9667410220719	DHFR;CDT1;CCNA1;PCNA;CDC45;RRM2;ORC1;CCNE1;CDC6;TYMS;E2F7
G1/S transition of mitotic cell cycle (GO:0000082)	15/85	2.0605491997704268E-12	6.215990085974121E-10	0	0	14.81212273641851	398.565317969377	CDT1;PCNA;CDKN2C;RRM2;CDC6;TYMS;CDC25A;DHFR;CCNA1;CDC45;CDK6;CCNE2;ORC1;CCNE1;RCC1
mitotic cytokinesis (GO:0000281)	12/49	5.631636313305409E-12	1.3949791560837004E-9	0	0	22.221301440813637	575.5899509971962	ANLN;ESPL1;RACGAP1;KIF4B;KIF4A;STMN1;PLK1;NUSAP1;KIF23;KIF20A;CEP55;CIT
DNA replication (GO:0006260)	16/108	6.165653728546742E-12	1.3949791560837004E-9	0	0	12.050391765248119	311.0450369573358	WDHD1;RFC3;MCM10;CDC6;TICRR;BRIP1;ORC6;CDC45;ORC1;EXO1;POLE2;CHEK1;CDK1;MCM4;CLSPN;MCM2
DNA-dependent DNA replication (GO:0006261)	16/129	9.7399440421203E-11	1.9588109684708604E-8	0	0	9.800431533193658	225.9215141642633	GINS1;WDHD1;CDT1;GINS2;RFC3;GMNN;MCM10;CDC6;ORC6;CDC45;RAD51;ORC1;POLE2;PSMD1;MCM4;MCM2
DNA replication initiation (GO:0006270)	10/38	1.5671091550588424E-10	2.836467570656505E-8	0	0	24.311665842807713	548.8752002223731	CDT1;CDC45;ORC6;ORC1;POLE2;GMNN;MCM4;MCM10;CDC6;MCM2
