Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
recycling endosome membrane (GO:0055038)	5/58	0.001731969111693041	0.1824645880095844	0	0	6.304710563470671	40.08847880866009	EHD1;HLA-C;HLA-F;RAB11FIP4;BAIAP3
early endosome membrane (GO:0031901)	6/97	0.0033651402671314146	0.1824645880095844	0	0	4.4128567678055735	25.128066891699227	EHD1;EPHA4;HLA-C;HLA-F;SNX20;BAIAP3
X chromosome (GO:0000805)	2/7	0.004451516346336223	0.1824645880095844	0	0	26.526599326599328	143.62855028768766	PCGF5;LRIF1
phagocytic vesicle membrane (GO:0030670)	4/45	0.0045052984693724546	0.1824645880095844	0	0	6.501860272840016	35.12630751795709	TAP2;HLA-C;TAP1;HLA-F
filopodium membrane (GO:0031527)	2/12	0.013317215329957988	0.4314777766906388	0	0	13.25993265993266	57.26564061481428	TBC1D10C;SYNE2
integral component of endoplasmic reticulum membrane (GO:0030176)	6/142	0.02006607838389298	0.43532941253572016	0	0	2.9459445894398715	11.514885887193927	EXT1;TAP2;HLA-C;TAP1;HLA-F;SLC37A3
PRC1 complex (GO:0035102)	2/15	0.020571741465247532	0.43532941253572016	0	0	10.1983941983942	39.60889989674108	CBX7;PCGF5
recycling endosome (GO:0055037)	6/145	0.021981902018770025	0.43532941253572016	0	0	2.881921084292975	11.001836911154141	EHD1;HLA-C;LMTK2;HLA-F;RAB11FIP4;BAIAP3
P-body (GO:0000932)	4/80	0.031946217569731546	0.43532941253572016	0	0	3.5013380909901874	12.057563204755416	TNRC6C;SYNE1;PATL2;ZFP36L1
MHC protein complex (GO:0042611)	2/20	0.03545114779240657	0.43532941253572016	0	0	7.363636363636363	24.59159741348717	HLA-C;HLA-F
integral component of organelle membrane (GO:0031301)	7/214	0.04239645303433707	0.43532941253572016	0	0	2.2575938058368075	7.135555464499054	EXT1;TPST1;TAP2;VOPP1;TAP1;PCSK7;SLC37A3
intracellular membrane-bounded organelle (GO:0043231)	91/5192	0.04515505666979939	0.43532941253572016	0	0	1.252205449911782	3.878897978896437	BTG2;CRTC2;BTG1;CDKN1B;PPP1R13B;MAML2;PHF1;MAP3K7CL;PSIP1;IKZF1;ZC3H6;SYNE2;IGF1R;SYNE1;MECP2;SCML1;SCML4;RASSF5;RNF111;JAK1;ZBP1;ZHX2;CDKL5;SP110;AKTIP;ZBTB38;MSL3;LDOC1;SERPINB9;PPP2R5C;IRAK4;PATL2;ITPKB;ADAM19;KAT2B;THAP5;IRF2;RAPGEF1;PRKD2;VAMP2;KDM7A;IRF9;ZNF398;PPARD;AKNA;SAMD9;RGS14;PPM1M;ZNF518B;SP140;NLRC5;FOXO1;MALT1;ARNTL;ZFP36L1;NUAK2;ATXN1;STK38;MKNK2;METTL4;TBL1X;HIVEP2;ZNF101;CTC1;ZBTB18;CBX7;CCZ1B;ABCA5;PCGF5;IQSEC1;MX1;ERBIN;ABCA7;PSMB9;MAPK13;NFKB2;EHD1;TADA2B;ZNF33A;ISG20;STK17A;CREBRF;ZNF217;ATM;ZNF354A;LAMTOR4;SP140L;TECPR1;ZNF652;CDK5R1;ZNF211
early endosome (GO:0005769)	8/266	0.04726098249792613	0.43532941253572016	0	0	2.0717653640214175	6.323173366695172	EHD1;EPHA4;RAPGEF1;HLA-C;LMTK2;HLA-F;SNX20;BAIAP3
H4 histone acetyltransferase complex (GO:1902562)	2/25	0.05332478191603534	0.43532941253572016	0	0	5.761381935294978	16.888650582734375	KAT2B;MSL3
endosome membrane (GO:0010008)	9/325	0.05632782359269723	0.43532941253572016	0	0	1.9038083806198167	5.476431721491956	EHD1;EPHA4;HLA-C;ECE1;IRAK4;HLA-F;SNX20;RAB11FIP4;BAIAP3
