Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
spindle (GO:0005819)	20/192	1.1170607670400433E-11	1.8431502656160713E-9	0	0	8.13911811286155	205.25012453665158	SPAG5;CKAP2L;PLK1;BUB1B;KIF23;TTK;CDC6;KIF11;TPX2;CENPF;RACGAP1;ESPL1;KIFC1;PRC1;KIF4A;NUSAP1;CDK1;BIRC5;KIF2C;KIF20A
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	8/30	9.994411659897712E-9	8.245389619415613E-7	0	0	24.59106529209622	452.9979090642953	CCNA2;CCNB2;CCNA1;CCNB1;CDK6;CCNE2;CCNE1;CDK1
serine/threonine protein kinase complex (GO:1902554)	8/37	6.020148752045899E-8	3.3110818136252445E-6	0	0	18.64865505391634	310.0444971656339	CCNA2;CCNB2;CCNA1;CCNB1;CDK6;CCNE2;CCNE1;CDK1
intracellular membrane-bounded organelle (GO:0043231)	119/5192	9.638320595677295E-8	3.975807245716884E-6	0	0	1.906314475326894	30.796384270172027	SCARB1;TFRC;DSCC1;GMNN;GOLIM4;MKI67;SMC4;MPO;CLU;AQP1;PTTG1;CHEK1;MYB;BSG;RAVER2;PSMD1;RCC1;KPNA2;SOX4;FADS1;GOLGA8R;GOLGA8O;CDC25A;MELK;CCNE2;CCNE1;PRTN3;KIF20A;ERG;CDCA4;CDCA5;CDCA7;NCAPG;LPAR4;NREP;GATA2;RAD51AP1;STIP1;CCNB2;BRIP1;CCNB1;RACGAP1;ORC1;BTBD3;CLSPN;PLTP;PLK4;CDT1;HSPA5;XRCC2;PLK1;FANCA;GGH;AZU1;CDC6;TPX2;DIAPH3;SCCPDH;CDK6;MAFG;CDK1;ZBTB8B;EZH2;TOP2A;ARHGAP11A;PIWIL4;MCM10;KIF11;BRCA2;FOXM1;SCML2;CHAF1B;CHAF1A;EXO1;DNMT3B;CTSG;GUSB;DLGAP5;RFC3;SLC39A11;KIF23;CCNA2;SLC7A5;CCNA1;ASPM;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;DTL;FAM72A;MCM2;PCNA;NFIX;UHRF1;TTK;TYMS;CDC45;NOCT;LMNA;RAD54L;IGF2BP2;BUB1;GINS1;CENPU;CDKN2C;ATAD2;AKR1C3;HNRNPAB;TICRR;CENPF;RAD51;WT1;PRC1;CENPJ;POLE2;HDGF;TRIP13
microtubule cytoskeleton (GO:0015630)	20/331	1.4420585171916758E-7	4.7587931067325305E-6	0	0	4.469338127672326	70.40112159575769	PLK1;KIF14;BUB1B;KIF23;TTK;KIF11;HMMR;KIF15;TPX2;CCNA1;CCNB2;CENPF;RACGAP1;KIFC1;PRC1;TCP1;MAP7;KIF2C;KIF20A;GTSE1
microtubule (GO:0005874)	14/182	6.524881012852286E-7	1.7943422785343787E-5	0	0	5.71140350877193	81.34450988594703	PLK1;KIF14;KIF23;KIF11;KIF15;TPX2;KIFC1;PRC1;KIF4A;TCP1;CDK1;BIRC5;KIF2C;KIF20A
azurophil granule lumen (GO:0035578)	10/90	9.55811660452137E-7	2.252984628208609E-5	0	0	8.48659169550173	117.63014353264403	VAT1;PSMD1;GGH;CTSG;PRSS57;PRTN3;AZU1;GUSB;MPO;ELANE
nucleus (GO:0005634)	103/4484	1.1588316177791054E-6	2.3900902116694048E-5	0	0	1.8376663607693706	25.117404436774954	DSCC1;GMNN;MKI67;SMC4;MPO;CLU;AQP1;PTTG1;CHEK1;MYB;RAVER2;PSMD1;RCC1;KPNA2;SOX4;CDC25A;MELK;CCNE2;CCNE1;KIF20A;ERG;CDCA4;CDCA5;CDCA7;NCAPG;NREP;GATA2;RAD51AP1;STIP1;CCNB2;BRIP1;CCNB1;RACGAP1;ORC1;BTBD3;CLSPN;PLTP;PLK4;CDT1;HSPA5;PLK1;FANCA;GGH;CDC6;TPX2;DIAPH3;SCCPDH;CDK6;MAFG;CDK1;ZBTB8B;EZH2;TOP2A;ARHGAP11A;PIWIL4;MCM10;KIF11;BRCA2;FOXM1;SCML2;CHAF1B;CHAF1A;EXO1;DNMT3B;CTSG;DLGAP5;RFC3;SLC39A11;KIF23;CCNA2;CCNA1;ASPM;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;DTL;MCM2;PCNA;NFIX;UHRF1;TTK;TYMS;CDC45;NOCT;LMNA;RAD54L;IGF2BP2;GINS1;CENPU;CDKN2C;ATAD2;AKR1C3;HNRNPAB;TICRR;CENPF;RAD51;WT1;PRC1;CENPJ;HDGF;TRIP13
mitotic spindle (GO:0072686)	11/120	1.8992085293109946E-6	3.481882303736823E-5	0	0	6.865188583078491	90.44249776351363	TPX2;RACGAP1;ESPL1;SPAG5;CKAP2L;KIFC1;NUSAP1;CDK1;KIF23;CDC6;KIF11
nuclear chromosome (GO:0000228)	9/83	4.127143019932136E-6	6.809785982888025E-5	0	0	8.231267474370922	102.0506380623796	TOP2A;GINS1;GINS2;RAD51;CHEK1;RCC1;BIRC5;MCM4;MCM2
