Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
tubulin binding (GO:0015631)	19/307	2.057505803495635E-7	6.810344209570551E-5	0	0	4.573995535714285	70.4239850475784	SPAG5;PLK1;KIF14;KIF23;BRCA2;KIF15;TPX2;CCDC88A;RACGAP1;KIFC1;PRC1;CENPJ;STMN1;NUSAP1;BIRC5;KIF2C;KIF20A;GTSE1;DLGAP5
microtubule binding (GO:0008017)	16/232	4.558534560674308E-7	7.544374697915979E-5	0	0	5.100117785630153	74.46730148062117	SPAG5;PLK1;KIF14;KIF23;KIF15;CCDC88A;TPX2;RACGAP1;KIFC1;PRC1;NUSAP1;BIRC5;KIF2C;KIF20A;GTSE1;DLGAP5
DNA replication origin binding (GO:0003688)	6/23	8.652607785629849E-7	9.546710590144933E-5	0	0	23.710901425416584	331.0097535265469	CDC45;ORC1;MCM4;MCM10;CDC6;MCM2
microtubule motor activity (GO:0003777)	8/56	1.7316039556714931E-6	1.4329022733181604E-4	0	0	11.256013745704468	149.32748354750336	KIFC1;KIF4A;KIF14;KIF23;KIF2C;KIF11;KIF20A;KIF15
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	7/44	3.7116479710927563E-6	2.457110956863405E-4	0	0	12.740466493891152	159.30723364203632	CCNA2;CCNB2;CCNA1;CCNB1;CDKN2C;CCNE2;CCNE1
motor activity (GO:0003774)	8/66	6.152131824677625E-6	3.3436758586048607E-4	0	0	9.310581822490816	111.71498889130733	KIFC1;KIF4A;KIF14;KIF23;KIF2C;KIF11;KIF20A;KIF15
single-stranded DNA helicase activity (GO:0017116)	5/19	7.071217827865264E-6	3.3436758586048607E-4	0	0	23.915208940719143	283.62189047164617	POLQ;RFC3;RAD51;DSCC1;MCM2
DNA polymerase binding (GO:0070182)	4/18	1.269641660009171E-4	0.005253142368287946	0	0	19.06731234866828	171.06440755595312	FANCI;CDT1;PCNA;RAD51
kinase binding (GO:0019900)	17/461	6.147954355700386E-4	0.01860259218748101	0	0	2.614601303431091	19.33293978753367	CDKN2C;TFRC;PLK1;KIF14;CDC6;KIF11;FOXM1;CDC25A;CIT;TOM1L1;CCNA2;TPX2;CCNB1;RACGAP1;PRC1;CENPJ;KIF20A
single-stranded DNA binding (GO:0003697)	7/97	6.342113753811749E-4	0.01860259218748101	0	0	5.223630136986301	38.462258678493285	RAD51AP1;CDC45;RAD51;MCM4;MCM10;BRCA2;MCM2
protein kinase binding (GO:0019901)	18/506	6.511606412950456E-4	0.01860259218748101	0	0	2.5219794644419813	18.503143391172657	TOP2A;CDKN2C;TFRC;PLK1;KIF14;KIF11;FOXM1;CDC25A;CIT;TOM1L1;CCNA2;TPX2;CCDC88A;CCNB1;RACGAP1;PRC1;CENPJ;KIF20A
protein kinase regulator activity (GO:0019887)	7/98	6.744142182772572E-4	0.01860259218748101	0	0	5.165964172813488	37.72014531246332	CCNA2;CCNB2;TPX2;CCNA1;CCNB1;CCNE2;CCNE1
