Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CD4+ Tcells	20/533	2.340829955642525E-9	7.386930866534613E-8	0	0	5.936977176098602	117.98412425927745	TRAF3IP3;SAMD9;CERK;SH2D3A;PIK3CD;IKZF1;IRAK4;RASGRP1;KLF2;ARNTL;SYNE1;EML4;RBL2;TBC1D10C;MALAT1;ATM;SP140L;CHMP7;CLEC2D;CYTH1
CD8+ Tcells	21/602	3.2830803851264947E-9	7.386930866534613E-8	0	0	5.5283993115318415	107.9944263126292	CRTC2;TRAF3IP3;ABCA5;SP110;SH2D3C;IKZF1;IRAK4;PCSK7;RASGRP1;SYNE2;MALT1;ARNTL;SYNE1;EML4;RBL2;STK17A;ATM;SP140L;CHMP7;CLEC2D;CYTH1
CD56+ NKCells	20/752	6.553654227719014E-7	9.830481341578521E-6	0	0	4.113635385740717	58.57024033966099	HLA-J;TRAF3IP3;SAMD9;FAM89B;SH2D3C;SERPINB9;IKZF1;KRCC1;KLF2;SYNE2;ARNTL;PIK3R5;SYNE1;EHD1;RBL2;RASA3;STK17A;RASSF5;TBC1D10C;CYTH1
CD19+ BCells(neg. sel.)	13/412	1.1430177255817687E-5	1.2858949412794898E-4	0	0	4.730146261175326	53.82553374013336	SCYL3;TNFAIP8;P2RY10;BTG1;SP110;SP140;KRCC1;MALT1;AIM2;WWC3;PRKD2;SP140L;CHMP7
WholeBlood	10/514	0.004758685121212789	0.0428281660909151	0	0	2.8022535048082493	14.985846131722514	HLA-J;CDC42SE1;FAM89B;IRF2;IFIT5;ICAM3;PDK3;TMEM140;RNF111;PSMB9
Lymphoma burkitts(Raji)	6/355	0.047488999368163747	0.3561674952612281	0	0	2.3781015667865635	7.246687090835691	EHD1;POLD4;PCGF5;PLAG1;GLCCI1;NFKB2
CD14+ Monocytes	5/383	0.15216824325329026	0.9782244209140089	0	0	1.8141254937029585	3.41557834683466	FAM89B;TPK1;TBL1X;IKZF1;SLC12A9
ParietalLobe	1/26	0.17463179980363083	0.9782464742272827	0	0	5.432328767123288	9.47982396276961	EPHA4
CingulateCortex	1/33	0.21623095665561504	0.9782464742272827	0	0	4.242508561643835	6.497012394593668	EPHA4
Fetalbrain	4/325	0.2173881053838406	0.9782464742272827	0	0	1.7020238328649544	2.5974092447061876	AKT3;PSIP1;KIF21B;RALGPS1
Ovary	1/41	0.26122824419399066	0.993878131815934	0	0	3.39263698630137	4.554142746315487	IGF1R
Lymphoma burkitts(Daudi)	2/139	0.27224920642130573	0.993878131815934	0	0	1.9849987415051598	2.582557665295997	AIM2;SERPINB9
Bonemarrow	1/52	0.3189383785838853	0.993878131815934	0	0	2.6594144507117914	3.039065451309972	PPP4R1L
DorsalRootGanglion	1/69	0.3994398643466313	0.993878131815934	0	0	1.9928485092667203	1.8288212385886962	TRIM4
TrigeminalGanglion	2/196	0.42338453361217393	0.993878131815934	0	0	1.3977248489157483	1.2013087957317725	EXT1;PLAG1
Pituitary	1/84	0.4625787899260235	0.993878131815934	0	0	1.6314573361940914	1.257753075709779	BAIAP3
retina	2/218	0.4775843967954138	0.993878131815934	0	0	1.2539591315453384	0.9266938395035852	ITPKB;GALM
Pancreas	1/96	0.5083056813962635	0.993878131815934	0	0	1.4245133381398702	0.9639286846225495	SH2D3A
Hypothalamus	1/97	0.5119370564623147	0.993878131815934	0	0	1.4096033105022832	0.9438049684362376	BAIAP3
Thyroid	3/388	0.54548910108618	0.993878131815934	0	0	1.0534632034632034	0.6384750284851302	PPFIBP2;PPP1R13B;NR3C2
Leukemia chronicMyelogenousK-562	1/124	0.6005229361440448	0.993878131815934	0	0	1.0986746853769909	0.5602740373448748	PIM2
CiliaryGanglion	2/278	0.608532098232727	0.993878131815934	0	0	0.9783608195902049	0.4859573156972377	ABCA5;PPP4R1L
BronchialEpithelialCells	2/280	0.6124434552096635	0.993878131815934	0	0	0.9712230215827338	0.47618934492612824	SH2D3A;STK17A
Lung	2/299	0.6481281615384197	0.993878131815934	0	0	0.9082085220016255	0.39385990348054656	BTG2;WWC3
BDCA4+ DendriticCells	3/495	0.70858203376723	0.993878131815934	0	0	0.81982554200542	0.28242124302752397	SCYL3;IQSEC1;MX1
Amygdala	2/345	0.7237699594213811	0.993878131815934	0	0	0.7845581582386649	0.25363327371868777	CYFIP2;EPHA4
PrefrontalCortex	3/521	0.7407164925745284	0.993878131815934	0	0	0.7776303088803089	0.23339588308733691	ATXN1;MAST3;NR3C2
pineal day	4/694	0.7548776007371593	0.993878131815934	0	0	0.7768521333738725	0.21845055663313478	TPST1;IQSEC1;ABCA7;GLCCI1
Uterus	1/201	0.7746933735926541	0.993878131815934	0	0	0.6730479452054795	0.17182104693869824	TBL1X
Testis	2/384	0.7767843768205643	0.993878131815934	0	0	0.7030510922549197	0.17758541504774972	EHD1;SLC6A16
small intestine	1/220	0.804452239638194	0.993878131815934	0	0	0.6140614249077375	0.13361588569989566	GALM
721 B lymphoblasts	9/1543	0.8086336138697479	0.993878131815934	0	0	0.7788248965478147	0.16542969174103592	PPFIBP2;MX1;MKNK2;PDK3;PSIP1;IFI44L;MALT1;PSMB9;NFKB2
Liver	3/618	0.8364985486588221	0.993878131815934	0	0	0.6516937669376693	0.11634720986990459	STARD10;LSR;RALGPS1
Prostate	1/249	0.8425154611298474	0.993878131815934	0	0	0.5414549270879364	0.09278548439142777	IGF1R
colon	1/258	0.8527576441414563	0.993878131815934	0	0	0.522253611214754	0.08318449963563253	NR3C2
AtrioventricularNode	1/269	0.8643813424445096	0.993878131815934	0	0	0.5005367000613371	0.07294883882315302	ABCA5
CardiacMyocytes	1/273	0.8683781965953284	0.993878131815934	0	0	0.49307514101531025	0.0695866832817477	EXT1
Colorectaladenocarcinoma	1/292	0.8858221973107155	0.993878131815934	0	0	0.46043402532598976	0.05582257403500809	SCML1
CD71+ EarlyErythroid	2/553	0.9167739417413299	0.993878131815934	0	0	0.48318417923524626	0.04198597831722884	KAT2B;PCGF5
TestisIntersitial	2/568	0.9240540980019717	0.993878131815934	0	0	0.47001340319239676	0.03712384952017833	SLC6A16;KIF21B
SmoothMuscle	1/363	0.9329624944959927	0.993878131815934	0	0	0.3687845303867403	0.025590061000110638	EXT1
Placenta	1/405	0.9511212112998716	0.993878131815934	0	0	0.32973348704733485	0.016524187432684655	SMAGP
SuperiorCervicalGanglion	1/602	0.9889925999560643	0.993878131815934	0	0	0.21940601280970073	0.002428480036703643	NFKB2
pineal night	1/674	0.9936399771938592	0.993878131815934	0	0	0.19520039080787316	0.0012454436739666604	TPST1
CD33+ Myeloid	1/679	0.993878131815934	0.993878131815934	0	0	0.1937103487291389	0.0011895139710698575	TBL1X
