Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epstein-Barr virus infection	14/202	2.2655552367736983E-6	4.4669967034462773E-4	0	0	5.098581560283688	66.269786085556	CDKN1B;DDX58;TAP2;HLA-C;TAP1;PIK3CD;IRAK4;HLA-F;NFKB2;MAPK13;AKT3;JAK3;IRF9;JAK1
FoxO signaling pathway	11/131	4.489443923061585E-6	4.4669967034462773E-4	0	0	6.232378472222222	76.74414805195666	RBL2;CDKN1B;AKT3;PIK3CD;ATM;S1PR4;FOXO1;KLF2;IGF1R;TGFBR2;MAPK13
Cellular senescence	11/156	2.3666980057720353E-5	0.0015699096771621167	0	0	5.15124521072797	54.868126372751924	RBL2;RASSF5;AKT3;HLA-C;PIK3CD;ATM;HLA-F;FOXO1;ZFP36L1;TGFBR2;MAPK13
Measles	9/139	2.4842787837100236E-4	0.009788368050000367	0	0	4.67212201591512	38.78028526971204	CDKN1B;DDX58;AKT3;MX1;PIK3CD;IRAK4;JAK3;IRF9;JAK1
Viral carcinogenesis	11/203	2.51632157837484E-4	0.009788368050000367	0	0	3.8809136284722223	32.16323557903245	RBL2;KAT2B;CDKN1B;RASA2;HLA-C;PIK3CD;HLA-F;JAK3;IRF9;JAK1;NFKB2
PD-L1 expression and PD-1 checkpoint pathway in cancer	7/89	3.7641965590948635E-4	0.009788368050000367	0	0	5.735591379886402	45.22402492886276	EML4;AKT3;PIK3CD;RASGRP1;TIRAP;JAK1;MAPK13
Sphingolipid signaling pathway	8/119	4.246299602532316E-4	0.009788368050000367	0	0	4.851862171449801	37.67127682652174	CERS4;AKT3;PIK3CD;PPP2R5C;PRKCZ;S1PR4;SGPP1;MAPK13
Endocytosis	12/252	4.3461052976571886E-4	0.009788368050000367	0	0	3.390418118466899	26.24543096774498	EHD1;GRK5;WIPF1;IQSEC1;HLA-C;HLA-F;PRKCZ;CHMP7;RAB11FIP4;CYTH1;IGF1R;TGFBR2
Human T-cell leukemia virus 1 infection	11/219	4.79712705875471E-4	0.009788368050000367	0	0	3.5794437767094016	27.355266084252314	KAT2B;CRTC2;AKT3;HLA-C;PIK3CD;ATM;HLA-F;JAK3;JAK1;NFKB2;TGFBR2
Human papillomavirus infection	14/331	4.918777914573049E-4	0.009788368050000367	0	0	3.003774420277824	22.880591608108517	CDKN1B;MAML2;MX1;HLA-C;PIK3CD;PPP2R5C;HLA-F;PRKCZ;FOXO1;RBL2;AKT3;ATM;IRF9;JAK1
Hepatitis B	9/162	7.605138911898256E-4	0.012617768038890982	0	0	3.965111561866126	28.475512839296506	DDX58;AKT3;PIK3CD;IRAK4;JAK3;TIRAP;JAK1;TGFBR2;MAPK13
AGE-RAGE signaling pathway in diabetic complications	7/100	7.608704345059889E-4	0.012617768038890982	0	0	5.054352629253204	36.29554616831192	CDKN1B;AKT3;PIK3CD;PRKCZ;FOXO1;TGFBR2;MAPK13
Human immunodeficiency virus 1 infection	10/212	0.0013815075570442338	0.02027520202838532	0	0	3.340128130460105	21.993340696356018	GNG2;AKT3;TAP2;HLA-C;TAP1;PIK3CD;ATM;IRAK4;HLA-F;MAPK13
Herpes simplex virus 1 infection	17/498	0.0014263961225999724	0.02027520202838532	0	0	2.4088409194792173	15.78418114955155	DDX58;TAP2;HLA-C;TAP1;PIK3CD;IRAK4;HLA-F;ZNF33A;ZNF506;AKT3;TNFRSF14;ZNF354A;IRF9;ZNF398;ZNF101;ZNF211;JAK1
