Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
abnormal B cell differentiation MP:0002144	9/89	7.380445582903773E-6	0.010967342136195006	0	0	7.611594827586207	89.94375406223402	DDX58;RASSF5;PIK3CD;IKZF1;JAK3;MALT1;JAK1;ARNTL;NFKB2
decreased response to antigen MP:0020001	4/14	4.3541551497596867E-5	0.031695113759303076	0	0	26.699661016949154	268.1125190026529	SELL;PIK3CD;ATM;JAK3
abnormal lymph node cortex morphology MP:0002343	3/6	6.398744365942748E-5	0.031695113759303076	0	0	66.54729729729729	642.6355168247022	RASSF5;IKZF1;NFKB2
decreased single-positive T cell number MP:0008083	6/50	9.705912124201256E-5	0.03605746354140767	0	0	9.148464163822526	84.53354953176586	SELL;ATM;IKZF1;HIVEP2;JAK3;RASGRP1
abnormal thymus medulla morphology MP:0002375	4/18	1.269641660009171E-4	0.03773375013547257	0	0	19.06731234866828	171.06440755595312	RASSF5;IKZF1;HIVEP2;JAK3
abnormal T cell differentiation MP:0002145	8/104	1.690701313803026E-4	0.041873035871854945	0	0	5.614261168384879	48.760963979187714	TRAF3IP3;ATM;IKZF1;RASGRP1;JAK3;MALT1;NFKB2;JAK1
abnormal erythroblast morphology MP:0011176	3/9	2.5992357932411137E-4	0.051998791060188225	0	0	33.26858108108108	274.6362253942045	SAMD9L;RASA3;IKZF1
abnormal T cell physiology MP:0002444	8/112	2.81637483421701E-4	0.051998791060188225	0	0	5.180280200898758	42.348219950545754	ITPKB;STK38;NLRC5;TNFRSF14;ATM;IL16;RASGRP1;JAK3
thick epidermis MP:0001219	6/64	3.8449331157615265E-4	0.051998791060188225	0	0	6.935271272213723	54.53608935123805	CERS4;IRF2;LRIG1;SYNE2;SGPP1;PPARD
small Peyer's patches MP:0008135	4/24	4.108053978157052E-4	0.051998791060188225	0	0	13.343050847457627	104.0409837930024	DDX58;PRKCZ;JAK3;NFKB2
decreased CD8-positive, naive alpha-beta T cell number MP:0013435	5/43	4.365328495575586E-4	0.051998791060188225	0	0	8.800125313283209	68.08346247804933	PLAG1;ATM;IKZF1;RASGRP1;JAK3
decreased fibroblast cell migration MP:0011708	4/25	4.833367839718746E-4	0.051998791060188225	0	0	12.707021791767554	97.01553022810958	EHD1;RAPGEF1;SYNE2;NFKB2
decreased IgG1 level MP:0008495	7/93	4.919871870479082E-4	0.051998791060188225	0	0	5.46770468302007	41.647823065350416	ITPKB;IL4R;PIK3CD;CD37;PRKD2;ARNTL;NFKB2
decreased CD8-positive, alpha-beta T cell number MP:0008079	9/153	5.038604431391838E-4	0.051998791060188225	0	0	4.214870689655172	32.00440344007241	RASA3;PLAG1;NLRC5;TAP1;ATM;HIVEP2;RASGRP1;JAK3;PSMB9
increased T cell proliferation MP:0005348	7/94	5.24886854577943E-4	0.051998791060188225	0	0	5.404581955597544	40.81717473271264	CDKN1B;SELL;RASSF5;TBC1D10C;TNFRSF14;IKZF1;NFKB2
increased double-positive T cell number MP:0005091	4/27	6.549827636432756E-4	0.05557373483558765	0	0	11.600884303610906	85.04494174038439	ITPKB;TRAF3IP3;ATM;NFKB2
abnormal thymus corticomedullary boundary morphology MP:0009543	3/12	6.584458697780117E-4	0.05557373483558765	0	0	22.175675675675677	162.45075602560757	RASSF5;JAK3;NFKB2
decreased B cell proliferation MP:0005093	6/71	6.731677167164049E-4	0.05557373483558765	0	0	6.186190601207666	45.180942355193125	IRF2;PIK3CD;IKZF1;IRAK4;TIRAP;NFKB2
impaired hematopoiesis MP:0001606	5/50	8.824456312090854E-4	0.06588760402817281	0	0	7.428571428571429	52.243756527855226	CTC1;PIK3CD;TAP1;JAK3;KLF2
decreased T cell proliferation MP:0005095	8/133	8.867779815366462E-4	0.06588760402817281	0	0	4.305374570446736	30.25781044064545	IL4R;CDKN1B;SELL;CD48;PIM2;RASGRP1;JAK3;MALT1
decreased thymocyte number MP:0000715	7/104	9.599793089987493E-4	0.06792996443676864	0	0	4.844937155768959	33.665524636791304	TRAF3IP3;RASSF5;ATM;IKZF1;RASGRP1;JAK3;JAK1
decreased mature B cell number MP:0008211	6/78	0.001106684762164776	0.07475152529894806	0	0	5.582764505119454	37.99845258908054	IRF2;PLCL2;PIK3CD;IKZF1;JAK3;NFKB2
intermingled spleen red and white pulp MP:0008475	3/15	0.0013172573235798574	0.08510627751476817	0	0	16.629222972972972	110.28839062305443	SELL;IKZF1;NFKB2
increased hepatocellular carcinoma incidence MP:0003331	5/57	0.0016019455746147193	0.09442511986092568	0	0	6.426282051282051	41.36299836745455	CBX7;TRIM62;RASSF5;ATM;PSMB9
thymus cortex hypoplasia MP:0000711	3/16	0.001603398624974564	0.09442511986092568	0	0	15.349272349272349	98.78223395485969	ATM;IKZF1;JAK3
decreased IgG2a level MP:0008496	5/58	0.001731969111693041	0.09442511986092568	0	0	6.304710563470671	40.08847880866009	ITPKB;IRF2;PIK3CD;ATM;NFKB2
abnormal immune system cell morphology MP:0000716	4/35	0.0017792081804212107	0.09442511986092568	0	0	8.603608529250957	54.47449467892036	CNN2;ATM;HIVEP2;RASGRP1
increased single-positive T cell number MP:0008082	4/35	0.0017792081804212107	0.09442511986092568	0	0	8.603608529250957	54.47449467892036	ATM;IKZF1;RASGRP1;JAK3
increased IgG level MP:0002493	5/59	0.0018695651773911986	0.09579909840011452	0	0	6.187641723356009	38.87107097941741	IL4R;RASSF5;TBC1D10C;IKZF1;RASGRP1
increased effector memory CD4-positive, alpha-beta T cell number MP:0010844	4/36	0.001978336032031487	0.09799357811995965	0	0	8.334322033898305	51.88531495007222	ATM;IKZF1;RASGRP1;JAK3
abnormal CD4-positive T cell differentiation MP:0008076	4/37	0.002192356597474309	0.10290763591545013	0	0	8.08135593220339	49.48035026592027	ATM;RASGRP1;JAK3;NFKB2
abnormal thymus cell ratio MP:0008827	3/18	0.00228529743284647	0.10290763591545013	0	0	13.301351351351352	80.88896388863593	RASSF5;JAK3;NFKB2
abnormal thymus cortex morphology MP:0002371	3/18	0.00228529743284647	0.10290763591545013	0	0	13.301351351351352	80.88896388863593	IKZF1;HIVEP2;JAK3
decreased IgM level MP:0001806	6/91	0.002444646600749878	0.10505448909869776	0	0	4.725798032523589	28.42026273784135	PIK3CD;PRKD2;JAK3;RASGRP1;MALT1;NFKB2
decreased IgG3 level MP:0008498	5/63	0.0025008572246347093	0.10505448909869776	0	0	5.75973492845414	34.507273008423056	PIK3CD;ATM;IKZF1;TIRAP;NFKB2
decreased T cell number MP:0005018	8/157	0.0025450616470747774	0.10505448909869776	0	0	3.607463271754422	21.549544066419564	TRAF3IP3;RASA3;DDX58;IRF2;ATM;IKZF1;RASGRP1;JAK3
abnormal ceramide level MP:0012232	3/19	0.00268399202454809	0.10779492293185032	0	0	12.469383445945946	73.82436161355268	CERS4;CERK;SGPP1
abnormal dendritic cell physiology MP:0002376	6/95	0.003033698242217693	0.11318938183331133	0	0	4.512482264064118	26.163249706084663	SELL;DDX58;RASSF5;JAK3;TIRAP;MALT1
small lymph nodes MP:0002217	3/20	0.0031229910196270286	0.11318938183331133	0	0	11.735294117647058	67.7004901888756	PIK3CD;ATM;JAK3
decreased liver cholesterol level MP:0010026	3/20	0.0031229910196270286	0.11318938183331133	0	0	11.735294117647058	67.7004901888756	STARD10;FOXO1;PPARD
increased keratinocyte proliferation MP:0009583	3/20	0.0031229910196270286	0.11318938183331133	0	0	11.735294117647058	67.7004901888756	LRIG1;SGPP1;PPARD
abnormal macrophage differentiation MP:0008113	2/6	0.0032112894975567644	0.11361848079450837	0	0	33.15993265993266	190.37391605441363	EPSTI1;IKZF1
abnormal vascular smooth muscle morphology MP:0005592	4/42	0.0035048826065509175	0.12112222217057357	0	0	7.016235504014273	39.666976782480816	ADAM19;RAPGEF1;CCM2;KLF2
abnormal circulating protein level MP:0005416	4/43	0.003819586237152569	0.12613122552019373	0	0	6.8359843546284225	38.06011657135835	ZHX2;SELL;ARNTL;PPARD
increased susceptibility to Herpesvirales infection MP:0020916	4/43	0.003819586237152569	0.12613122552019373	0	0	6.8359843546284225	38.06011657135835	ZBP1;PIK3CD;TAP1;JAK3
decreased B cell number MP:0005017	9/207	0.004067798273842784	0.1263183684054239	0	0	3.056896551724138	16.82715596803822	RASA3;PIK3CD;IKZF1;PRKCZ;JAK3;RASGRP1;JAK1;ARNTL;NFKB2
increased central memory CD4-positive, alpha-beta T cell number MP:0010841	3/22	0.004126807837997613	0.1263183684054239	0	0	10.498933143669985	57.64177915107378	ATM;IKZF1;RASGRP1
decreased activated T cell number MP:0001830	2/7	0.004451516346336223	0.1263183684054239	0	0	26.526599326599328	143.62855028768766	SELL;ATM
impaired gluconeogenesis MP:0030973	2/7	0.004451516346336223	0.1263183684054239	0	0	26.526599326599328	143.62855028768766	CRTC2;ARNTL
increased circulating interferon-alpha level MP:0008573	2/7	0.004451516346336223	0.1263183684054239	0	0	26.526599326599328	143.62855028768766	PIK3CD;DDX60
abnormal third pharyngeal arch artery morphology MP:0006356	2/7	0.004451516346336223	0.1263183684054239	0	0	26.526599326599328	143.62855028768766	CCM2;ECE1
decreased interleukin-6 secretion MP:0008706	5/72	0.004465923924699794	0.1263183684054239	0	0	4.983754695908214	26.968487924696287	NLRC5;TNFRSF14;PIM2;IRAK4;TIRAP
decreased IgG2b level MP:0008497	4/45	0.0045052984693724546	0.1263183684054239	0	0	6.501860272840016	35.12630751795709	ITPKB;PIK3CD;ATM;NFKB2
decreased granulocyte number MP:0000334	3/24	0.005305741770795712	0.14600615317411905	0	0	9.498069498069498	49.760060239165455	CNN2;CERK;IKZF1
decreased CD8-positive, alpha-beta memory T cell number MP:0010839	2/8	0.005876954897996975	0.15546544379164687	0	0	22.104377104377104	113.54391916247398	TRAF3IP3;TAP1
abnormal T-helper 2 cell morphology MP:0002434	2/8	0.005876954897996975	0.15546544379164687	0	0	22.104377104377104	113.54391916247398	IL4R;HIVEP2
sporadic seizures MP:0000951	3/25	0.00596334474840099	0.15546544379164687	0	0	9.065878378378379	46.4365510101936	MECP2;GABBR1;AKT3
abnormal immune system physiology MP:0001790	6/111	0.0064889816560659485	0.15659149112562393	0	0	3.8217454900048757	19.252614907597394	IL4R;IRF2;SERPINB9;RASGRP1;JAK3;PSMB9
increased memory T cell number MP:0008049	3/26	0.00666753882522399	0.15659149112562393	0	0	8.671269095182138	43.447432638891414	DDX58;RASSF5;IRF2
increased plasma cell number MP:0008097	3/26	0.00666753882522399	0.15659149112562393	0	0	8.671269095182138	43.447432638891414	RASSF5;RASGRP1;JAK1
enlarged spleen MP:0000691	14/444	0.007256713143866082	0.15659149112562393	0	0	2.201501427988576	10.844218009322208	SAMD9L;BTG1;CDKN1B;DDX58;NLRC5;IKZF1;RASGRP1;NFKB2;SELL;RASA3;RASSF5;ATM;JAK3;JAK1
increased T cell number MP:0005015	5/81	0.007339354119308451	0.15659149112562393	0	0	4.391559255281059	21.582337436082355	CDKN1B;RASSF5;IKZF1;RASGRP1;NFKB2
decreased B-2 B cell number MP:0008207	3/27	0.007419110764559125	0.15659149112562393	0	0	8.30954391891892	40.74747787561276	PIK3CD;JAK3;NFKB2
increased B-1 B cell number MP:0004977	3/27	0.007419110764559125	0.15659149112562393	0	0	8.30954391891892	40.74747787561276	ATM;IKZF1;NFKB2
decreased myeloid dendritic cell number MP:0008122	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	JAK3;NFKB2
hair follicle degeneration MP:0003413	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	CERS4;SLC30A4
abnormal peripheral lymph node morphology MP:0008463	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	IKZF1;NFKB2
abnormal thymus lobule morphology MP:0002367	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	HIVEP2;IKZF1
absent B cells MP:0008071	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	IKZF1;JAK3
absent CD8-positive, alpha-beta T cells MP:0000727	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	ITPKB;TAP1
absent cervical lymph nodes MP:0009633	2/9	0.0074818276378999325	0.15659149112562393	0	0	18.945646945646946	92.7442121032424	IKZF1;NFKB2
abnormal megakaryocyte morphology MP:0002417	3/29	0.009067197924426437	0.17201355305809005	0	0	7.669568607068607	36.07068677054567	SAMD9L;RASA3;S1PR4
increased leukemia incidence MP:0002026	3/29	0.009067197924426437	0.17201355305809005	0	0	7.669568607068607	36.07068677054567	SAMD9L;ATM;IKZF1
prolonged estrus MP:0009017	2/10	0.009260487378632035	0.17201355305809005	0	0	16.576599326599325	77.61161482377749	GABBR1;CDKN1B
