Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon alpha/beta signaling Homo sapiens R-HSA-909733	8/68	7.715825222445485E-6	0.004722085036136637	0	0	8.999312714776632	105.94204314582555	ISG20;HLA-H;IRF2;MX1;HLA-C;HLA-F;IRF9;JAK1
Antigen Presentation: Folding, assembly and peptide loading of class I MHC Homo sapiens R-HSA-983170	5/25	3.0017874438419197E-5	0.009185469578156275	0	0	16.735544217687075	174.27923034636586	HLA-H;TAP2;HLA-C;TAP1;HLA-F
G beta:gamma signalling through PI3Kgamma Homo sapiens R-HSA-392451	6/48	7.685269316526462E-5	0.015677949405713983	0	0	9.585080448561678	90.80541026231344	GNG2;AKT3;PIK3CD;JAK3;PIK3R5;JAK1
G-protein beta:gamma signalling Homo sapiens R-HSA-397795	6/51	1.0863311605494375E-4	0.016531329072038227	0	0	8.944709897610922	81.64314604424412	GNG2;AKT3;PIK3CD;JAK3;JAK1;PIK3R5
GPVI-mediated activation cascade Homo sapiens R-HSA-114604	6/53	1.35059878039528E-4	0.016531329072038227	0	0	8.563212548108343	76.29644553976125	AKT3;PIK3CD;JAK3;PRKCZ;JAK1;PIK3R5
Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	22/620	1.731868501104935E-4	0.01766505871127034	0	0	2.5371334049720486	21.974466319791954	HLA-H;TRIM62;DDX58;MX1;HLA-C;PIK3CD;IL16;PPP2R5C;IRAK4;HLA-F;RASGRP1;PSMB9;NFKB2;ISG20;RASA3;RASA2;IRF2;RAPGEF1;TNFRSF14;JAK3;IRF9;JAK1
Innate Immune System Homo sapiens R-HSA-168249	26/807	2.1014921091191393E-4	0.01837304529687019	0	0	2.307176391683434	19.53646080806007	CYFIP2;CDKN1B;WIPF1;NLRC5;ICAM3;PIK3CD;RASGRP1;FOXO1;MALT1;AKT3;JAK3;JAK1;ZBP1;DDX58;HLA-C;PPP2R5C;IRAK4;TIRAP;PSMB9;MAPK13;NFKB2;TNRC6C;AIM2;RASA3;RASA2;IRF2
Immune System Homo sapiens R-HSA-168256	41/1547	2.4495680462086023E-4	0.01873919555349581	0	0	1.9199558355724389	15.963335845633642	CYFIP2;CDKN1B;WIPF1;NLRC5;ICAM3;PIK3CD;RASGRP1;FOXO1;MALT1;TRIM4;AKT3;TNFRSF14;JAK3;RNF111;JAK1;ZBP1;HLA-H;TRIM62;DDX58;MX1;TAP2;HLA-C;TAP1;IL16;PPP2R5C;IRAK4;HLA-F;TIRAP;PSMB9;MAPK13;NFKB2;ISG20;TNRC6C;AIM2;SELL;RASA3;RASA2;IRF2;RAPGEF1;CLEC2D;IRF9
ER-Phagosome pathway Homo sapiens R-HSA-1236974	6/65	4.183484327600082E-4	0.028447693427680557	0	0	6.8173772198762075	53.03371292764173	HLA-H;TAP2;TAP1;HLA-C;HLA-F;PSMB9
Interferon gamma signaling Homo sapiens R-HSA-877300	7/93	4.919871870479082E-4	0.030109615847331985	0	0	5.46770468302007	41.647823065350416	TRIM62;HLA-H;IRF2;HLA-C;HLA-F;IRF9;JAK1
Endosomal/Vacuolar pathway Homo sapiens R-HSA-1236977	3/12	6.584458697780117E-4	0.033608160086127374	0	0	22.175675675675677	162.45075602560757	HLA-H;HLA-C;HLA-F
Downstream signal transduction Homo sapiens R-HSA-186763	14/341	6.589835311005367E-4	0.033608160086127374	0	0	2.910413648800901	21.318232861950452	CDKN1B;PIK3CD;PPP2R5C;RASGRP1;FOXO1;PSMB9;TNRC6C;RASA3;AKT3;RASA2;RAPGEF1;NCK2;JAK3;JAK1
Interferon Signaling Homo sapiens R-HSA-913531	10/196	7.622337453083165E-4	0.0358836193945146	0	0	3.630427503069539	26.06377314243599	ISG20;HLA-H;TRIM62;DDX58;IRF2;MX1;HLA-C;HLA-F;IRF9;JAK1
Generic Transcription Pathway Homo sapiens R-HSA-212436	24/812	0.001222901552765681	0.050313023513605254	0	0	2.094656206737425	14.047872432192593	BTG2;ZNF394;CDKN1B;PPP1R13B;MAML2;PPP2R5C;NR3C2;ZNF33A;RBL2;TNRC6C;KAT2B;ZNF506;AKT3;ZNF626;ATM;TBL1X;ZNF354A;LAMTOR4;RNF111;ZNF398;ZNF101;CDK5R1;PPARD;ZNF211
Signaling by PDGF Homo sapiens R-HSA-186797	14/364	0.0012331623410197366	0.050313023513605254	0	0	2.7159298245614036	18.191768907220574	CDKN1B;PIK3CD;PPP2R5C;RASGRP1;FOXO1;PSMB9;TNRC6C;RASA3;AKT3;RASA2;RAPGEF1;NCK2;JAK3;JAK1
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	6/82	0.0014356692531862874	0.05491434893437549	0	0	5.287857014550027	34.61496855738203	HLA-H;TAP2;TAP1;HLA-C;HLA-F;PSMB9
NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037	14/374	0.0015898318192542114	0.05723394549315161	0	0	2.639122807017544	17.006842648912187	CDKN1B;PIK3CD;PPP2R5C;RASGRP1;FOXO1;PSMB9;MAPK13;TNRC6C;RASA3;AKT3;RASA2;RAPGEF1;JAK3;JAK1
Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	9/192	0.0024711611502062133	0.08401947910701126	0	0	3.3100056529112494	19.87018615995454	TNRC6C;CDKN1B;AKT3;PIK3CD;PPP2R5C;RASGRP1;FOXO1;MALT1;PSMB9
Signaling by EGFR Homo sapiens R-HSA-177929	13/355	0.0027915004516968107	0.08973608844400364	0	0	2.5729665071770333	15.13206895161064	CDKN1B;PIK3CD;PPP2R5C;RASGRP1;FOXO1;PSMB9;TNRC6C;RASA3;AKT3;RASA2;LRIG1;JAK3;JAK1
DAP12 interactions Homo sapiens R-HSA-2172127	13/359	0.003071478047487954	0.08973608844400364	0	0	2.5426957435627955	14.711011300965353	CDKN1B;HLA-C;PIK3CD;PPP2R5C;RASGRP1;FOXO1;PSMB9;TNRC6C;RASA3;AKT3;RASA2;JAK3;JAK1
VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097	12/320	0.0033135031460618134	0.08973608844400364	0	0	2.63265306122449	15.031788965488673	CYFIP2;RASA3;AKT3;RASA2;NCK2;PPP2R5C;PRKCZ;JAK3;RASGRP1;PSMB9;MAPK13;JAK1
Signalling by NGF Homo sapiens R-HSA-166520	15/450	0.0033431316131659378	0.08973608844400364	0	0	2.339242350655658	13.335663444726656	CDKN1B;PIK3CD;PPP2R5C;RASGRP1;FOXO1;PSMB9;MAPK13;FGD3;TNRC6C;RASA3;AKT3;RASA2;RAPGEF1;JAK3;JAK1
Signaling by SCF-KIT Homo sapiens R-HSA-1433557	12/325	0.0037505481302003586	0.08973608844400364	0	0	2.589929979628413	14.466968875893848	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Signaling by VEGF Homo sapiens R-HSA-194138	12/328	0.004034323422133566	0.08973608844400364	0	0	2.5649450888722267	14.140328534512934	CYFIP2;RASA3;AKT3;RASA2;NCK2;PPP2R5C;PRKCZ;JAK3;RASGRP1;PSMB9;MAPK13;JAK1
Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	12/329	0.004132661944203096	0.08973608844400364	0	0	2.5567218808736083	14.033420814970077	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	12/329	0.004132661944203096	0.08973608844400364	0	0	2.5567218808736083	14.033420814970077	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	12/329	0.004132661944203096	0.08973608844400364	0	0	2.5567218808736083	14.033420814970077	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Signaling by ERBB4 Homo sapiens R-HSA-1236394	12/330	0.0042329177344766255	0.08973608844400364	0	0	2.548550391164289	13.927480652725508	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Signaling by FGFR4 Homo sapiens R-HSA-5654743	12/332	0.004439287650790637	0.08973608844400364	0	0	2.5323606271777	13.718459361066667	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	12/332	0.004439287650790637	0.08973608844400364	0	0	2.5323606271777	13.718459361066667	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Signaling by FGFR3 Homo sapiens R-HSA-5654741	12/333	0.004545455460398877	0.08973608844400364	0	0	2.524341398287147	13.615356794080236	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Signaling by FGFR1 Homo sapiens R-HSA-5654736	12/336	0.004876215844797609	0.09325762803175427	0	0	2.5005807200929153	13.311555901015565	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
Diseases associated with the TLR signaling cascade Homo sapiens R-HSA-5602358	3/24	0.005305741770795712	0.09550335187432282	0	0	9.498069498069498	49.760060239165455	IRAK4;TIRAP;NFKB2
Diseases of Immune System Homo sapiens R-HSA-5260271	3/24	0.005305741770795712	0.09550335187432282	0	0	9.498069498069498	49.760060239165455	IRAK4;TIRAP;NFKB2
DAP12 signaling Homo sapiens R-HSA-2424491	12/344	0.005852999563771419	0.10137686072281683	0	0	2.439318248604173	12.540049699557725	TNRC6C;CDKN1B;RASA3;AKT3;RASA2;PIK3CD;PPP2R5C;JAK3;RASGRP1;FOXO1;PSMB9;JAK1
