Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell Cycle Homo sapiens R-HSA-1640170	66/566	7.788445249395535E-40	4.431625346906059E-37	0	0	10.87781974248927	979.5559617426928	TOP2A;GMNN;HJURP;BUB1B;MCM10;BRCA2;FOXM1;SMC4;PTTG1;EXO1;CHEK1;NUF2;PSMD1;WHSC1;GTSE1;RFC3;KIF23;ESCO2;CDC25A;CCNA2;CCNA1;CCNE2;ESPL1;CCNE1;BIRC5;MCM4;KIF2C;KIF20A;MCM2;PCNA;CDCA5;NCAPG;HMMR;TYMS;NCAPH;CCNB2;BRIP1;CCNB1;ORC6;CDC45;ORC1;LMNA;CLSPN;BUB1;PLK4;GINS1;CENPU;CDT1;GINS2;CENPW;CDKN2C;RRM2;PLK1;CDC6;ZWINT;DHFR;TPX2;CENPF;CDK6;RAD51;CENPI;CENPJ;POLE2;CDK1;SPC24;SPC25
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	57/462	1.2291225955669107E-35	3.496853784387861E-33	0	0	11.222038567493113	902.0743421062853	TOP2A;GMNN;BUB1B;MCM10;FOXM1;SMC4;PTTG1;NUF2;PSMD1;GTSE1;RFC3;KIF23;ESCO2;CDC25A;CCNA2;CCNA1;CCNE2;ESPL1;CCNE1;BIRC5;MCM4;KIF2C;KIF20A;MCM2;PCNA;CDCA5;NCAPG;HMMR;TYMS;NCAPH;CCNB2;CCNB1;ORC6;CDC45;ORC1;LMNA;BUB1;PLK4;GINS1;CENPU;CDT1;GINS2;CDKN2C;RRM2;PLK1;CDC6;ZWINT;DHFR;TPX2;CENPF;CDK6;CENPI;CENPJ;POLE2;CDK1;SPC24;SPC25
Mitotic G1-G1/S phases Homo sapiens R-HSA-453279	24/136	4.0957905355037104E-19	7.768349382338704E-17	0	0	15.264155844155844	646.2714910520219	TOP2A;CDT1;PCNA;CDKN2C;RRM2;MCM10;CDC6;TYMS;CDC25A;DHFR;CCNA2;CCNA1;CCNB1;ORC6;CDK6;CDC45;CCNE2;ORC1;CCNE1;POLE2;CDK1;PSMD1;MCM4;MCM2
G1/S-Specific Transcription Homo sapiens R-HSA-69205	12/17	5.783933969399352E-19	8.227646071470577E-17	0	0	164.70522648083625	6916.636666396477	DHFR;CDT1;CCNA1;PCNA;RRM2;CDC45;ORC1;CCNE1;CDK1;CDC6;TYMS;CDC25A
E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	14/33	1.3033553103344323E-17	1.483218343160584E-15	0	0	50.88605724838412	1978.3992555436575	CDT1;PCNA;RRM2;CDC6;TYMS;CDC25A;DHFR;CCNA1;CCNB1;ORC6;CDC45;ORC1;CCNE1;CDK1
G1/S Transition Homo sapiens R-HSA-69206	21/112	1.9351706264019664E-17	1.8351868107045312E-15	0	0	16.27836192584394	626.4524283326962	CDT1;PCNA;RRM2;MCM10;CDC6;TYMS;CDC25A;DHFR;CCNA2;CCNA1;CCNB1;ORC6;CDC45;CCNE2;ORC1;CCNE1;POLE2;CDK1;PSMD1;MCM4;MCM2
Cell Cycle Checkpoints Homo sapiens R-HSA-69620	24/182	4.272089615818672E-16	3.472598559144035E-14	0	0	10.794752589182968	382.01828883961514	RFC3;BUB1B;MCM10;CDC6;CDC25A;CCNA2;CCNB2;CCNA1;BRIP1;CCNB1;ORC6;CDC45;CCNE2;ORC1;CCNE1;EXO1;CHEK1;CDK1;PSMD1;MCM4;CLSPN;WHSC1;GTSE1;MCM2
Mitotic Prometaphase Homo sapiens R-HSA-68877	19/107	1.9533983300402608E-15	1.3893545622411354E-13	0	0	15.123660714285714	512.2263772689148	CENPU;CDCA5;PLK1;BUB1B;NCAPG;SMC4;NCAPH;ZWINT;CCNB2;CCNB1;CENPF;CENPI;NUF2;CDK1;BIRC5;KIF2C;BUB1;SPC24;SPC25
S Phase Homo sapiens R-HSA-69242	20/124	2.4450434932177204E-15	1.5458108307120922E-13	0	0	13.50771987868762	454.46336513388934	GINS1;CDT1;GINS2;RFC3;PCNA;CDCA5;ESCO2;CDC6;CDC25A;CCNA2;CCNA1;ORC6;CDC45;CCNE2;ORC1;CCNE1;POLE2;PSMD1;MCM4;MCM2
DNA Replication Homo sapiens R-HSA-69306	17/105	2.9657772842999254E-13	1.6875272747666576E-11	0	0	13.43572695035461	387.5732548684225	GINS1;CDT1;GINS2;RFC3;PCNA;GMNN;MCM10;CDC6;CCNA2;CCNA1;ORC6;CDC45;ORC1;POLE2;PSMD1;MCM4;MCM2
