Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Retinoblastoma gene in cancer WP2446	25/87	1.5891665688973144E-25	3.972916422243286E-23	0	0	28.901283258770896	1650.3042450132596	TOP2A;PCNA;TTK;TYMS;CCNB2;CCNB1;CDC45;ORC1;STMN1;CHEK1;PLK4;CDT1;RFC3;RRM2;CDC25A;CCNA2;DHFR;ANLN;CDK6;CCNE2;CCNE1;KIF4A;POLE2;CDK1;MCM4
Cell cycle WP179	23/120	3.254032045328757E-19	4.0675400566609463E-17	0	0	16.84192439862543	716.9476171191894	PCNA;CDKN2C;PLK1;TTK;CDC6;CDC25A;CCNA2;CCNB2;CCNA1;CCNB1;ORC6;CDK6;CDC45;PTTG1;CCNE2;ORC1;ESPL1;CCNE1;CHEK1;CDK1;MCM4;BUB1;MCM2
G1 to S cell cycle control WP45	15/64	2.4216013572643813E-14	2.018001131053651E-12	0	0	21.182811152630066	664.1184593131175	PCNA;CDKN2C;CDC25A;CCNA1;CCNB1;ORC6;CDC45;CDK6;CCNE2;ORC1;CCNE1;POLE2;CDK1;MCM4;MCM2
DNA Replication WP466	12/42	7.409289078854422E-13	4.630805674284014E-11	0	0	27.41602787456446	765.7535574991209	CDT1;RFC3;PCNA;ORC6;CDC45;ORC1;POLE2;GMNN;MCM4;MCM10;CDC6;MCM2
DNA IR-damage and cellular response via ATR WP4016	14/80	1.2799612787916447E-11	6.399806393958224E-10	0	0	14.614035087719298	366.5434730106142	FANCI;PCNA;PLK1;FANCA;FOXM1;BRCA2;BRIP1;CDC45;RAD51;EXO1;CHEK1;CDK1;CLSPN;MCM2
Gastric Cancer Network 1 WP2361	7/29	1.831617486319276E-7	7.631739526330315E-6	0	0	21.443493150684933	332.6506834588293	TOP2A;TPX2;CCNA1;CENPF;MCM4;E2F7;KIF15
DNA damage response WP707	9/68	7.526155103744718E-7	2.6879125370516853E-5	0	0	10.331852717708943	145.67614102983947	CCNB2;CCNB1;CDK6;RAD51;CCNE2;CCNE1;CHEK1;CDK1;CDC25A
miRNA regulation of DNA damage response WP1530	9/71	1.0936698308002291E-6	3.417718221250716E-5	0	0	9.830422691879866	134.9321036630137	CCNB2;CCNB1;CDK6;RAD51;CCNE2;CCNE1;CHEK1;CDK1;CDC25A
Fluoropyrimidine Activity WP1601	6/33	8.371638738406215E-6	2.3254552051128375E-4	0	0	14.921501706484642	174.44221665107378	DHFR;UCK2;RRM2;GGH;TK1;TYMS
DNA Repair Pathways Full Network WP4946	10/120	1.3077999254028552E-5	3.269499813507138E-4	0	0	6.162629757785467	69.296178304589	FANCI;BRIP1;RFC3;PCNA;RAD51;EXO1;POLE2;CHEK1;FANCA;BRCA2
ATM Signaling Pathway WP2516	6/40	2.6572598601411937E-5	6.039226954866349E-4	0	0	11.845211804858462	124.79676885815557	CCNB1;RAD51;CCNE1;CHEK1;CDK1;CDC25A
Regulation of sister chromatid separation at the metaphase-anaphase transition WP4240	4/15	5.86774801660591E-5	0.0012224475034595646	0	0	24.271186440677965	236.48520190026758	PTTG1;ESPL1;BUB1B;BUB1
Gastric Cancer Network 2 WP2363	5/31	8.920195954013921E-5	0.001715422298848831	0	0	12.86957090528519	120.00369803744451	TOP2A;FANCI;RFC3;DSCC1;ATAD2
FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma WP4553	5/35	1.6230111623743196E-4	0.002898234218525571	0	0	11.151360544217686	97.3074100318931	H2AFY;HIST1H3H;HIST1H3B;HIST2H3D;EZH2
DNA Mismatch Repair WP531	4/23	3.4638922096818684E-4	0.005773153682803115	0	0	14.046030330062445	111.91803224010727	RFC3;PCNA;EXO1;POLE2
Iron metabolism in placenta WP2007	3/12	6.584458697780117E-4	0.010288216715281432	0	0	22.175675675675677	162.45075602560757	STEAP3;TFRC;TFR2
One-carbon metabolism WP241	4/30	9.873962124732382E-4	0.01452053253637115	0	0	10.260756192959583	71.00893905111197	DHFR;MTHFD1L;DNMT3B;TYMS
Trans-sulfuration and one-carbon metabolism WP2525	4/31	0.0011204626748540756	0.015561981595195496	0	0	9.880225988700564	67.12638950543031	DHFR;MTHFD1L;DNMT3B;TYMS
miRNAs involved in DNA damage response WP1545	3/15	0.0013172573235798574	0.017044871199131697	0	0	16.629222972972972	110.28839062305443	CDK6;CCNE1;CDC25A
DNA IR-double strand breaks and cellular response via ATM WP3959	5/55	0.0013635896959305358	0.017044871199131697	0	0	6.684013605442177	44.098679258010606	PCNA;RAD51;EXO1;CHEK1;BRCA2
Pyrimidine metabolism WP4022	6/85	0.0017276957641091976	0.020567806715585685	0	0	5.08627467922409	32.35362379312563	UCK2;RRM2;POLE2;NME4;TK1;TYMS
Linoleic acid metabolism known to be affected by coronavirus infection WP4853	2/5	0.002162184810492964	0.024570281937420047	0	0	44.215488215488215	271.3343603732352	FADS2;FADS1
Metabolism of alpha-linolenic acid WP4586	2/6	0.0032112894975567644	0.03410556350054094	0	0	33.15993265993266	190.37391605441363	FADS2;FADS1
Histone Modifications WP2369	5/67	0.0032741340960519305	0.03410556350054094	0	0	5.387041913539609	30.82304764505208	HIST1H3H;HIST1H4J;HIST2H3D;HIST1H3B;EZH2
Integrated Cancer Pathway WP1971	4/44	0.004152891989615141	0.041528919896151414	0	0	6.664745762711864	36.54913467460211	CHEK1;PLK1;CDK1;CDC25A
Serine Metabolism WP4688	2/8	0.005876954897996975	0.05650918171150937	0	0	22.104377104377104	113.54391916247398	DHFR;TYMS
PPAR-alpha pathway WP2878	3/26	0.00666753882522399	0.061736470603925835	0	0	8.671269095182138	43.447432638891414	CPT1A;CDK1;PLTP
Integrated breast cancer pathway WP1984	7/152	0.00799565269601751	0.07138975621444206	0	0	3.2331601322626358	15.612468900287048	RAD51;CHEK1;PLK1;RAD54L;BRCA2;TFPI;CDC25A
Nucleotide GPCRs WP80	2/11	0.01120741468231519	0.09661564381306198	0	0	14.734006734006734	66.17307186263885	P2RY1;LPAR4
Disorders of Folate Metabolism and Transport WP4259	2/13	0.015584617828066713	0.12503104845329452	0	0	12.053872053872054	50.161837637972695	DHFR;TYMS
Homologous recombination WP186	2/13	0.015584617828066713	0.12503104845329452	0	0	12.053872053872054	50.161837637972695	RAD51;BRCA2
Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome WP4320	3/37	0.017668033308592946	0.12503104845329452	0	0	5.8625794912559615	23.661360860323125	HIST1H3H;HIST1H3B;HIST2H3D
PPAR signaling pathway WP3942	4/67	0.01796849091164969	0.12503104845329452	0	0	4.226634382566586	16.9874165457471	FADS2;CPT1A;SLC27A2;PLTP
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity WP3969	2/14	0.01800447097727441	0.12503104845329452	0	0	11.048821548821548	44.38460956787663	H2AFY;SOX4
Omega-3/Omega-6 FA synthesis WP4723	2/14	0.01800447097727441	0.12503104845329452	0	0	11.048821548821548	44.38460956787663	FADS2;FADS1
Omega-9 FA synthesis WP4724	2/14	0.01800447097727441	0.12503104845329452	0	0	11.048821548821548	44.38460956787663	FADS2;FADS1
RAC1/PAK1/p38/MMP2 Pathway WP3303	4/68	0.018873298106177872	0.12752228450120184	0	0	4.160381355932204	16.516743748384474	RAD51;TIE1;STMN1;BIRC5
AMP-activated protein kinase (AMPK) signaling WP1403	4/69	0.019805856259548244	0.13030168591808056	0	0	4.096166883963494	16.064255590083473	CCNA2;CCNA1;CPT1A;CCNB1
Biomarkers for pyrimidine metabolism disorders WP4584	2/15	0.020571741465247532	0.1318701375977406	0	0	10.1983941983942	39.60889989674108	RRM2;TYMS
Male infertility WP4673	6/146	0.022646997756054568	0.14154373597534106	0	0	2.861189663578742	10.837408159816928	CCNA1;PIWIL4;XRCC2;TRIP13;BRCA2;CLU
Pyrimidine metabolism and related diseases WP4225	2/17	0.026128976618467595	0.15932302816138777	0	0	8.837710437710438	32.21089483713391	RRM2;TYMS
Nucleotide Excision Repair WP4753	3/44	0.027911872630333474	0.1661420989900802	0	0	4.859920896506263	17.392214164539443	RFC3;PCNA;POLE2
ATM Signaling Network in Development and Disease  WP3878	3/45	0.02958377373067078	0.16808962346972034	0	0	4.743967181467181	16.701275236369856	CHEK1;CDK1;BUB1
Nephrotic syndrome WP4758	3/45	0.02958377373067078	0.16808962346972034	0	0	4.743967181467181	16.701275236369856	ANLN;WT1;LMNA
Regulation of Microtubule Cytoskeleton WP2038	3/46	0.031307484481058766	0.1713740761509763	0	0	4.63340666247643	16.04964848473249	STMN1;CDK1;KIF2C
15q13.3 copy number variation syndrome WP4942	2/19	0.03221832631638354	0.1713740761509763	0	0	7.797187561893444	26.785053471743293	GOLGA8R;GOLGA8O
Nucleotide metabolism WP404	2/19	0.03221832631638354	0.1713740761509763	0	0	7.797187561893444	26.785053471743293	DHFR;RRM2
Glioblastoma signaling pathways WP2261	4/82	0.034532283766680306	0.1798556446181266	0	0	3.411212516297262	11.481665913068856	CDKN2C;CDK6;CCNE1;BRCA2
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657	2/20	0.03545114779240657	0.18087320302248253	0	0	7.363636363636363	24.59159741348717	FLT3;DNMT3B
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	3/53	0.04480431045552385	0.22402155227761925	0	0	3.983310810810811	12.369976256591888	HSPA5;BIRC5;TNFRSF21
Hematopoietic Stem Cell Differentiation WP2849	3/55	0.04911107677928456	0.23815318079688996	0	0	3.829716735966736	11.541505014249235	MYB;GATA2;CD34
IL1 and megakaryocytes in obesity WP2865	2/24	0.049535861605753115	0.23815318079688996	0	0	6.023569023569023	18.101176661115765	SELENBP1;IL18
Complement and Coagulation Cascades WP558	3/58	0.05593488589185071	0.2638438013766543	0	0	3.6202702702702703	10.439291942886312	PLAU;TFPI;CLU
Prader-Willi and Angelman Syndrome WP3998	3/61	0.06318376964870079	0.2925174520773185	0	0	3.432490680335508	9.479536354531186	CDKN2C;CDK6;CDC6
Genotoxicity pathway WP4286	3/63	0.0682456392268827	0.30726889113220585	0	0	3.3177364864864867	8.906933857492522	TM7SF3;E2F7;E2F8
Statin inhibition of cholesterol production WP430	2/29	0.06943490067962689	0.30726889113220585	0	0	4.906846240179574	13.088353092435552	SCARB1;PLTP
Mesodermal commitment pathway WP2857	5/147	0.07005730717814293	0.30726889113220585	0	0	2.3425074255054135	6.22741941758068	WDHD1;CCDC88A;TWSG1;MEIS1;DNMT3B
Sulindac Metabolic Pathway WP2542	1/5	0.0725549020892867	0.3113803594223486	0	0	16.524328859060404	43.35011821721803	MSRB3
Pathways affected in adenoid cystic carcinoma WP3651	3/65	0.07348576482367426	0.3113803594223486	0	0	3.210385789014821	8.381237216645399	UHRF1;MYB;CHEK1
Base Excision Repair WP4752	2/31	0.07801174145842542	0.3145634736226831	0	0	4.567978636944154	11.652438122914264	PCNA;POLE2
Tumor suppressor activity of SMARCB1 WP4204	2/31	0.07801174145842542	0.3145634736226831	0	0	4.567978636944154	11.652438122914264	CDK6;EZH2
Ethanol effects on histone modifications WP3996	2/31	0.07801174145842542	0.3145634736226831	0	0	4.567978636944154	11.652438122914264	DHFR;TYMS
Circadian rhythm related genes WP3594	6/201	0.08187491569521817	0.31643065797559455	0	0	2.048411656602783	5.126278431337964	TOP2A;CPT1A;STAR;NOCT;TYMS;EZH2
Folate Metabolism WP176	3/69	0.08448192417505432	0.31643065797559455	0	0	3.0152027027027026	7.451222235512739	DHFR;SCARB1;MPO
Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension) WP4661	1/6	0.08642364783811024	0.31643065797559455	0	0	13.218791946308725	32.366131958684925	GPT2
Benzene metabolism WP3891	1/6	0.08642364783811024	0.31643065797559455	0	0	13.218791946308725	32.366131958684925	MPO
Metastatic brain tumor WP2249	1/6	0.08642364783811024	0.31643065797559455	0	0	13.218791946308725	32.366131958684925	CDK6
Purinergic signaling WP4900	2/33	0.0868997374326512	0.31643065797559455	0	0	4.272835885739111	10.438539214851616	P2RY1;LPAR4
Parkin-Ubiquitin Proteasomal System pathway WP2359	3/70	0.0873348616012641	0.31643065797559455	0	0	2.970048406615571	7.240994543027833	HSPA5;CCNE1;PSMD1
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	5/158	0.08886627205290776	0.31737954304609917	0	0	2.1728691476590636	5.2596961666015	CPT1A;MYB;SLC1A3;GATA2;FOXM1
Primary focal segmental glomerulosclerosis (FSGS) WP2572	3/72	0.09316096449943462	0.3280315651388543	0	0	2.883666274970623	6.844169899006446	PCNA;WT1;MKI67
The influence of laminopathies on Wnt signaling WP4844	2/35	0.09607301060454969	0.33358684237690867	0	0	4.013468013468014	9.402138197070174	CDK6;LMNA
EV release from cardiac cells and their functional effects WP3297	1/7	0.10008568948968981	0.34275921058112946	0	0	11.015100671140939	25.353771861357927	MYB
Hippo-Merlin Signaling Dysregulation WP4541	4/120	0.10569816202093515	0.3536419115868528	0	0	2.2893045002922268	5.144451299979701	FLT3;KIT;FOXM1;ITGA9
Ciliary landscape WP4352	6/216	0.10609257347605584	0.3536419115868528	0	0	1.9006338371526086	4.263964117187548	IFT122;MCM4;MCM10;SMC4;IQGAP3;MCM2
Sleep regulation WP3591	2/38	0.11031427749737964	0.358163238627856	0	0	3.6784511784511786	8.108858404622246	STAR;IL18
Parkinson's disease pathway WP2371	2/38	0.11031427749737964	0.358163238627856	0	0	3.6784511784511786	8.108858404622246	CCNE2;CCNE1
Peroxiredoxin 2 induced ovarian failure WP4873	1/8	0.11354409711364633	0.36297352052363785	0	0	9.441035474592521	20.53957686999917	STAR
IL-18 signaling pathway WP4754	7/272	0.11469963248546956	0.36297352052363785	0	0	1.75823210131817	3.8073434120235667	CCNA2;CCNB2;CPT1A;STMN1;BSG;IL18;HDGF
Ferroptosis WP4313	2/40	0.12009562371007661	0.3752988240939894	0	0	3.484494063441432	7.385270141796498	STEAP3;TFRC
ATR Signaling WP3875	1/9	0.1268018954068032	0.3865911445329366	0	0	8.260486577181208	17.058972772651494	CHEK1
Benzo(a)pyrene metabolism WP696	1/9	0.1268018954068032	0.3865911445329366	0	0	8.260486577181208	17.058972772651494	AKR1C3
22q11.2 copy number variation syndrome WP4657	4/131	0.133449272417031	0.39843864539353613	0	0	2.0898438542639797	4.209016274669926	CDC45;PLK1;RCC1;HIST1H4J
PI3K-Akt signaling pathway WP4172	8/340	0.13882855286674659	0.39843864539353613	0	0	1.603858733904691	3.166843993688823	CDK6;CCNE2;CCNE1;FLT3;MYB;KIT;LPAR4;ITGA9
Ethanol metabolism resulting in production of ROS by CYP2E1 WP4269	1/10	0.13986206452524058	0.39843864539353613	0	0	7.342281879194631	14.442992371926008	MAFG
Leptin and adiponectin WP3934	1/10	0.13986206452524058	0.39843864539353613	0	0	7.342281879194631	14.442992371926008	CPT1A
