Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
protein serine/threonine kinase activity (GO:0004674)	18/344	4.735511196833486E-6	0.0013117366015228755	0	0	3.807065039407899	46.67621968482645	CDKL5;MAST3;MINK1;LMTK2;IRAK4;PRKCZ;MAPK13;TGFBR2;NUAK2;GRK5;STK17A;AKT3;STK38;MKNK2;PDK3;PRKD2;ATM;PIM2
TAP1 binding (GO:0046978)	3/5	3.235217213126368E-5	0.0044807758401800195	0	0	99.82601351351352	1032.0841228557276	TAP2;TAP1;HLA-F
kinase activity (GO:0016301)	7/112	0.0014799505038281596	0.11978503850131021	0	0	4.473972602739726	29.151271931941498	ITPKB;EPHA4;SCYL3;CDKL5;CERK;PIK3CD;CDK5R1
GTPase activator activity (GO:0005096)	13/336	0.0017311603399447506	0.11978503850131021	0	0	2.726991274978891	17.34083765127428	RGS14;RASGRP1;ARHGAP45;FGD3;TAGAP;RAPGEF1;TBC1D10C;SH3BP5;TBC1D25;LAMTOR4;RALGPS1;TBC1D10A;CYTH1
cytoskeleton-nuclear membrane anchor activity (GO:0140444)	2/5	0.002162184810492964	0.11978503850131021	0	0	44.215488215488215	271.3343603732352	SYNE2;SYNE1
ATP binding (GO:0005524)	11/278	0.003234085775230615	0.14930695995648005	0	0	2.7800405742821472	15.94077766002642	NUAK2;CDKL5;STK17A;AKT3;MINK1;STK38;MKNK2;TAP2;PDK3;LMTK2;TAP1
peptide transmembrane transporter activity (GO:1904680)	2/7	0.004451516346336223	0.17615286113359052	0	0	26.526599326599328	143.62855028768766	TAP2;TAP1
MHC class Ib protein binding (GO:0023029)	2/8	0.005876954897996975	0.19941631754266514	0	0	22.104377104377104	113.54391916247398	TAP2;TAP1
adenyl ribonucleotide binding (GO:0032559)	11/306	0.006579794027193722	0.19941631754266514	0	0	2.5125470809792843	12.622413013600962	NUAK2;CDKL5;STK17A;AKT3;STK38;MINK1;MKNK2;TAP2;PDK3;TAP1;LMTK2
guanyl-nucleotide exchange factor activity (GO:0005085)	7/149	0.007199145037641341	0.19941631754266514	0	0	3.3019727956781786	16.291250281300375	FGD3;RAPGEF1;SH3BP5;LAMTOR4;RASGRP1;RALGPS1;CYTH1
1-phosphatidylinositol-3-kinase activity (GO:0016303)	2/10	0.009260487378632035	0.21376291699008945	0	0	16.576599326599325	77.61161482377749	PIK3CD;ATM
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	2/10	0.009260487378632035	0.21376291699008945	0	0	16.576599326599325	77.61161482377749	KAT2B;CDKN1B
transmembrane receptor protein kinase activity (GO:0019199)	4/60	0.012391774414365236	0.263490617599883	0	0	4.756658595641646	20.885167350701174	EPHA4;LMTK2;IGF1R;TGFBR2
phosphatidylinositol 3-kinase activity (GO:0035004)	2/12	0.013317215329957988	0.263490617599883	0	0	13.25993265993266	57.26564061481428	PIK3CD;ATM
signaling receptor complex adaptor activity (GO:0030159)	3/39	0.02033382280524661	0.35614827411709793	0	0	5.5363175675675675	21.56655695412117	RGS14;NCK2;DEDD2
phosphatidylinositol kinase activity (GO:0052742)	2/15	0.020571741465247532	0.35614827411709793	0	0	10.1983941983942	39.60889989674108	PIK3CD;ATM
protein tyrosine kinase activity (GO:0004713)	5/108	0.02313445133839516	0.36587630237171337	0	0	3.2359157255135065	12.187857743437798	EPHA4;LMTK2;JAK3;IGF1R;JAK1
MHC class I protein binding (GO:0042288)	2/17	0.026128976618467595	0.36587630237171337	0	0	8.837710437710438	32.21089483713391	TAP2;TAP1
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	3/44	0.027911872630333474	0.36587630237171337	0	0	4.859920896506263	17.392214164539443	KAT2B;CDKN1B;CDK5R1
phosphatidylcholine transporter activity (GO:0008525)	2/18	0.029109443157833665	0.36587630237171337	0	0	8.28493265993266	29.30126044664487	ABCA7;PITPNC1
single-stranded RNA binding (GO:0003727)	3/45	0.02958377373067078	0.36587630237171337	0	0	4.743967181467181	16.701275236369856	DDX58;IFIT5;DDX60
protein kinase C binding (GO:0005080)	3/45	0.02958377373067078	0.36587630237171337	0	0	4.743967181467181	16.701275236369856	GRK5;PRKD2;TIRAP
RNA cap binding (GO:0000339)	2/19	0.03221832631638354	0.36587630237171337	0	0	7.797187561893444	26.785053471743293	CYFIP2;IFIT5
DNA binding (GO:0003677)	19/811	0.03630176269850436	0.36587630237171337	0	0	1.6200892857142857	5.3720362086346505	CTC1;ZBP1;ZBTB18;PHF1;IFIT5;MSL3;PSIP1;IKZF1;DDX60;FOXO1;KLF2;ARNTL;DEDD2;MECP2;AIM2;IRF2;HIVEP2;EZH1;PPARD
cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027)	2/21	0.038803533708799506	0.36587630237171337	0	0	6.975722133616871	22.665823019972226	TNFAIP8;SERPINB9
poly(U) RNA binding (GO:0008266)	2/22	0.042271212507198924	0.36587630237171337	0	0	6.626599326599327	20.96423420045279	ATXN1;IFIT5
purine ribonucleoside triphosphate binding (GO:0035639)	12/460	0.04470783213820602	0.36587630237171337	0	0	1.7968827775012444	5.584004737624872	NUAK2;CDKL5;STK17A;AKT3;STK38;MINK1;MKNK2;TAP2;PDK3;TAP1;LMTK2;RAB28
transcription coregulator binding (GO:0001221)	3/53	0.04480431045552385	0.36587630237171337	0	0	3.983310810810811	12.369976256591888	FAM89B;PHF1;PPARD
phosphatase inhibitor activity (GO:0019212)	2/23	0.0458500128371079	0.36587630237171337	0	0	6.31072631072631	19.452055305399217	PPP1R2;LMTK2
methyl-CpG binding (GO:0008327)	2/24	0.049535861605753115	0.36587630237171337	0	0	6.023569023569023	18.101176661115765	MECP2;ZBTB38
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	28/1359	0.05310295547150836	0.36587630237171337	0	0	1.4260010368698728	4.186058404951252	ZNF394;ZBTB24;PLAG1;ZNF518B;NLRC5;IKZF1;FOXO1;ARNTL;NR3C2;ZNF506;ZNF626;HIVEP2;ZNF101;ZBTB18;ZBTB38;KLF2;NFKB2;ZNF33A;RBL2;IRF2;CREBRF;ZNF217;ZNF354A;ZNF652;IRF9;ZNF398;PPARD;ZNF211
poly-pyrimidine tract binding (GO:0008187)	2/25	0.05332478191603534	0.36587630237171337	0	0	5.761381935294978	16.888650582734375	ATXN1;IFIT5
protein phosphatase regulator activity (GO:0019888)	3/57	0.053612398681611106	0.36587630237171337	0	0	3.6875	10.789532513696892	PPP1R2;LMTK2;PPP2R5C
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	3/60	0.060721083286247604	0.36587630237171337	0	0	3.492887624466572	9.785200002616268	EPHA4;LMTK2;IGF1R
GTPase regulator activity (GO:0030695)	7/233	0.06145232906034459	0.36587630237171337	0	0	2.065780700690993	5.762481923712114	CDC42SE1;RGS14;TAGAP;TBC1D10C;TBC1D25;TBC1D10A;ARHGAP45
MHC protein binding (GO:0042287)	2/28	0.0652716059831827	0.36587630237171337	0	0	5.095830095830096	13.907530128399603	TAP2;TAP1
methylation-dependent protein binding (GO:0140034)	3/63	0.0682456392268827	0.36587630237171337	0	0	3.3177364864864867	8.906933857492522	PHF1;MSL3;KDM7A
transcription corepressor binding (GO:0001222)	2/29	0.06943490067962689	0.36587630237171337	0	0	4.906846240179574	13.088353092435552	FAM89B;PHF1
protein phosphatase inhibitor activity (GO:0004864)	2/29	0.06943490067962689	0.36587630237171337	0	0	4.906846240179574	13.088353092435552	PPP1R2;LMTK2
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	PYGM
histone demethylase activity (H3-K27 specific) (GO:0071558)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	KDM7A
acyl carnitine transmembrane transporter activity (GO:0015227)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	SLC25A45
single-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008310)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	ISG20
lipid kinase activity (GO:0001727)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	CERK
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	KAT2B
U2 snRNA binding (GO:0030620)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	ISG20
choline transmembrane transporter activity (GO:0015220)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	SLC44A2
phosphatidylcholine floppase activity (GO:0090554)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	ABCA7
exopolyphosphatase activity (GO:0004309)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	PRUNE1
GPI-linked ephrin receptor activity (GO:0005004)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	EPHA4
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)	1/5	0.0725549020892867	0.36587630237171337	0	0	16.524328859060404	43.35011821721803	PDK3
protein serine/threonine kinase inhibitor activity (GO:0030291)	2/30	0.07368275891436864	0.36587630237171337	0	0	4.731361231361231	12.339325949211295	KAT2B;CDKN1B
kinase activator activity (GO:0019209)	2/31	0.07801174145842542	0.36587630237171337	0	0	4.567978636944154	11.652438122914264	MALT1;CDK5R1
