Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell cycle	24/124	4.185733066490957E-20	7.115746213034627E-18	0	0	17.106327272727274	763.2846651391006	PCNA;CDKN2C;PLK1;BUB1B;TTK;CDC6;CDC25A;CCNA2;CCNB2;CCNA1;CCNB1;ORC6;CDK6;CDC45;PTTG1;CCNE2;ORC1;ESPL1;CCNE1;CHEK1;CDK1;MCM4;BUB1;MCM2
p53 signaling pathway	10/73	1.298365963862962E-7	1.1036110692835177E-5	0	0	10.78596144340089	171.032873342936	CCNB2;STEAP3;CCNB1;RRM2;CDK6;CCNE2;CCNE1;CHEK1;CDK1;GTSE1
Cellular senescence	11/156	2.3666980057720353E-5	0.0013411288699374867	0	0	5.15124521072797	54.868126372751924	CCNA2;CCNB2;CCNA1;CCNB1;CDK6;CCNE2;CCNE1;CHEK1;CDK1;FOXM1;CDC25A
Progesterone-mediated oocyte maturation	8/100	1.285906129136205E-4	0.004808894759809599	0	0	5.859554758703123	52.495028853696624	CCNA2;CCNB2;CCNA1;CCNB1;PLK1;CDK1;BUB1;CDC25A
Oocyte meiosis	9/129	1.4143808117087056E-4	0.004808894759809599	0	0	5.064051724137931	44.885974597960995	CCNB2;CCNB1;PTTG1;CCNE2;ESPL1;CCNE1;PLK1;CDK1;BUB1
DNA replication	5/36	1.8619205099074798E-4	0.005275441444737859	0	0	10.791090629800307	92.68178416325773	RFC3;PCNA;POLE2;MCM4;MCM2
Homologous recombination	5/41	3.4822745853357737E-4	0.00845695256438688	0	0	9.289965986394558	73.97279109427575	BRIP1;RAD51;XRCC2;RAD54L;BRCA2
Folate biosynthesis	4/26	5.645416461714302E-4	0.011996509981142892	0	0	12.128813559322033	90.71741737468827	DHFR;AKR1C3;GGH;PCBD1
Transcriptional misregulation in cancer	10/192	6.501219576541276E-4	0.012280081422355744	0	0	3.710977603711168	27.232454671023817	CCNA2;CCNA1;MEIS1;CDKN2C;PLAU;FLT3;WT1;ERG;MPO;ELANE
MicroRNAs in cancer	13/310	8.390937821801641E-4	0.01426459429706279	0	0	2.9696969696969697	21.034922174658014	CDCA5;KIF23;CDC25A;CDK6;CCNE2;MIR221;CCNE1;PLAU;STMN1;FSCN1;DNMT3B;SOX4;EZH2
Fanconi anemia pathway	5/54	0.0012547482297896864	0.019391563551295152	0	0	6.820769123976121	45.56833309952297	FANCI;BRIP1;RAD51;FANCA;BRCA2
