Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IFNG-MCF10A	9/138	8.387364658852678E-7	6.709891727082143E-5	0	0	9.971688574317492	139.517577236736	SCYL3;AIM2;SAMD9;SP110;MX1;IFIT5;SERPINB9;IFI44L;PSMB9
IFNG-BT20	8/136	7.491685392968582E-6	2.1086303850564623E-4	0	0	8.869154676258994	104.67125144890862	AIM2;SP110;MX1;IFIT5;TMEM140;SP140L;IFI44L;PSMB9
IFNA-BT20	8/137	7.907363943961733E-6	2.1086303850564623E-4	0	0	8.799955384529586	103.37937744331656	AIM2;SAMD9;SP110;IFIT5;TMEM140;SP140L;IFI44L;PSMB9
IFNA-MCF7	8/143	1.0833004528098871E-5	2.1666009056197743E-4	0	0	8.40628830269118	96.108363733953	SAMD9;SP110;MX1;IFIT5;TMEM140;SP140L;IFI44L;PSMB9
IFNA-SKBR3	7/138	7.289949074889139E-5	0.0011663918519822622	0	0	7.527480916030535	71.71001177719262	SAMD9;SP110;IFIT5;SERPINB9;SP140L;IFI44L;PSMB9
IFNG-MCF7	6/132	4.358308672393611E-4	0.005811078229858148	0	0	6.662276258020939	51.554401286272046	SP110;MX1;IFIT5;SP140L;IFI44L;PSMB9
IFNG-HS578T	6/138	5.51758151796414E-4	0.006305807449101875	0	0	6.357511283043198	47.69659734491342	AIM2;SP110;MX1;IFIT5;IFI44L;PSMB9
IFNA-MDAMB231	6/148	7.967662491174253E-4	0.007967662491174253	0	0	5.906802517231045	42.14473595764351	SAMD9;SP110;IFIT5;TMEM140;IFI44L;PSMB9
IFNG-MDAMB231	5/131	0.0028406707894750504	0.025250407017556004	0	0	5.512799016320143	32.325482621481726	AIM2;SP110;MX1;IFI44L;PSMB9
IFNG-SKBR3	5/135	0.0032330749370030215	0.02586459949602417	0	0	5.342091007583965	30.633267863170737	SP110;MX1;IFIT5;SP140L;IFI44L
IFNA-HS578T	5/149	0.004915753021461515	0.03562890336605174	0	0	4.819297730829421	25.61606300371305	SAMD9;SP110;IFIT5;IFI44L;PSMB9
TNFA-BT20	5/152	0.005344335504907761	0.03562890336605174	0	0	4.720226118616461	24.694892246736348	EHD1;TPST1;TNFAIP8;AKT3;NFKB2
EPR-SKBR3	5/156	0.005956054698580326	0.035884034872105876	0	0	4.594254267325809	23.537958727807375	BTG2;STK17A;LSR;SERPINB9;CYTH1
MSP-SKBR3	5/158	0.006279706102618528	0.035884034872105876	0	0	4.5337383779803	22.98801259810863	KAT2B;BTG2;STK17A;CYTH1;IGF1R
IL1-HS578T	4/148	0.023834499054368664	0.10566323380169773	0	0	3.8284770784770785	14.305568644915226	EHD1;BTG2;MX1;NFKB2
TNFA-MCF10A	4/149	0.024356396366210606	0.10566323380169773	0	0	3.801880877742947	14.123838349165428	EHD1;TNFAIP8;MX1;NFKB2
HBEGF-SKBR3	4/152	0.025963479567883856	0.10566323380169773	0	0	3.7242487242487243	13.597471786315332	BTG2;STK17A;KLF2;CYTH1
HRG-BT20	4/152	0.025963479567883856	0.10566323380169773	0	0	3.7242487242487243	13.597471786315332	SCML1;STK17A;MALT1;PSMB9
IL1-MCF7	4/153	0.026513026452396993	0.10566323380169773	0	0	3.6990660346365045	13.42805027384162	EHD1;TNFAIP8;KLF2;NFKB2
TNFA-MDAMB231	4/153	0.026513026452396993	0.10566323380169773	0	0	3.6990660346365045	13.42805027384162	EHD1;TNFAIP8;RASGRP1;NFKB2
TGFA-MCF7	4/158	0.02936532545509594	0.10566323380169773	0	0	3.5780583053310324	12.623177547302637	BTG2;STK17A;KLF2;NFKB2
SCF-SKBR3	4/159	0.029956790686715515	0.10566323380169773	0	0	3.554793593503271	12.47021324571975	SCML1;KRCC1;SYNE2;SYNE1
EPG-SKBR3	4/162	0.03177340498945619	0.10566323380169773	0	0	3.486766398158803	12.0262954549913	BTG2;BTG1;CD48;CYTH1
IL1-SKBR3	4/164	0.03301976056303054	0.10566323380169773	0	0	3.442832167832168	11.742292406393494	BTG2;IRF2;RASGRP1;NFKB2
TNFA-HS578T	4/164	0.03301976056303054	0.10566323380169773	0	0	3.442832167832168	11.742292406393494	BTG2;MX1;IFIT5;NFKB2
IL1-MCF10A	3/146	0.09287647805241105	0.22796941959934247	0	0	2.8715034965034967	6.824084589597829	EHD1;TNFAIP8;NFKB2
IL1-BT20	3/146	0.09287647805241105	0.22796941959934247	0	0	2.8715034965034967	6.824084589597829	EHD1;BTG2;NFKB2
AR-SKBR3	3/150	0.09872858178025319	0.22796941959934247	0	0	2.7928004535147393	6.466396526208822	BTG2;STK17A;CYTH1
IL1-MDAMB231	3/152	0.10170953898758996	0.22796941959934247	0	0	2.7550335570469797	6.29699887872956	EHD1;TNFAIP8;NFKB2
TNFA-SKBR3	3/153	0.10321347026597748	0.22796941959934247	0	0	2.736527777777778	6.214533926045329	IRF2;PSMB9;NFKB2
EGF-SKBR3	3/153	0.10321347026597748	0.22796941959934247	0	0	2.736527777777778	6.214533926045329	STK17A;KLF2;CYTH1
EPG-MCF10A	3/153	0.10321347026597748	0.22796941959934247	0	0	2.736527777777778	6.214533926045329	BTG2;SERPINB9;RASGRP1
HBEGF-HS578T	3/154	0.10472626488036735	0.22796941959934247	0	0	2.7182671081677703	6.133512402403174	BTG2;IFIT5;IFI44L
BNGF-BT20	3/155	0.10624784363358832	0.22796941959934247	0	0	2.700246710526316	6.053901190066407	BTG2;PIK3CD;ATM
HBEGF-BT20	3/157	0.10931703550536559	0.22796941959934247	0	0	2.6649080086580086	5.898781967497896	BTG2;TNFAIP8;STK17A
HRG-SKBR3	3/157	0.10931703550536559	0.22796941959934247	0	0	2.6649080086580086	5.898781967497896	BTG2;STK17A;KLF2
TGFA-BT20	3/157	0.10931703550536559	0.22796941959934247	0	0	2.6649080086580086	5.898781967497896	BTG2;STK17A;SERPINB9
TNFA-MCF7	3/159	0.11242040716567879	0.22796941959934247	0	0	2.630475427350427	5.748929824051811	TNFAIP8;RASGRP1;NFKB2
EGF-HS578T	3/159	0.11242040716567879	0.22796941959934247	0	0	2.630475427350427	5.748929824051811	BTG2;STK17A;KLF2
INS-SKBR3	3/160	0.11398470979967124	0.22796941959934247	0	0	2.613588110403397	5.675905683366221	CYFIP2;ATXN1;SYNE1
MCSF-SKBR3	3/166	0.12354207183794891	0.24105770114721736	0	0	2.5166155419222904	5.262679776937106	CYFIP2;ATXN1;TRAF3IP3
IGF2-BT20	2/130	0.24774938348332237	0.4719035875872807	0	0	2.1255387931034484	2.965844186028534	MX1;IFI44L
