Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
abnormal mitosis MP:0004046	10/65	4.156502463699825E-8	4.211284829798164E-5	0	0	12.359861591695502	210.06829137807293	PLK4;CENPJ;GMNN;LMNA;NUSAP1;BUB1B;ESCO2;BRCA2;BUB1;CDC25A
small testis MP:0001147	21/341	5.049502194002595E-8	4.211284829798164E-5	0	0	4.575101169064748	76.86806397645532	PLK4;PIWIL4;CDKN2C;NPR3;FANCA;BRCA2;ASPM;BRIP1;CDK6;CCNE2;PTTG1;WT1;EXO1;KIT;LMNA;MAP7;CCDC169-SOHLH2;TRIP13;KPNA2;BUB1;FADS1
embryonic lethality between implantation and somite formation, complete penetrance MP:0011096	18/266	1.1499644491132042E-7	5.8153477171169396E-5	0	0	5.0245953392262654	80.28481641255863	PLK4;GINS1;GMNN;BUB1B;KIF11;PFAS;ZWINT;CDC25A;CCNA2;CDC45;RAD51;ESPL1;CHEK1;MRC1;BIRC5;MCM4;BUB1;EZH2
decreased testis weight MP:0004852	16/216	1.7294174232858195E-7	5.8153477171169396E-5	0	0	5.512650176678445	85.83367795359443	PLK4;PIWIL4;FANCA;RXFP1;FADS2;ASPM;CCNA1;BRIP1;CDK6;PTTG1;EXO1;KIT;MAP7;CCDC169-SOHLH2;MNS1;BUB1
abnormal cell nucleus morphology MP:0003111	8/43	2.0918516968046546E-7	5.8153477171169396E-5	0	0	15.447029945999018	237.57603110036123	ESPL1;GMNN;CHEK1;LMNA;CDK1;BIRC5;MCM4;MCM2
chromosomal instability MP:0008866	8/43	2.0918516968046546E-7	5.8153477171169396E-5	0	0	15.447029945999018	237.57603110036123	BRIP1;EXO1;XRCC2;CENPJ;MCM4;BRCA2;BUB1;MCM2
abnormal erythrocyte morphology MP:0002447	10/78	2.4619566595892697E-7	5.8664910117070025E-5	0	0	9.990331772847547	152.0242695122636	SPTA1;SCARB1;STEAP3;CDK6;CCNE1;MYB;KIT;MCM4;SLC4A1;MCM2
abnormal mitotic spindle morphology MP:0009760	7/31	3.0078227188364346E-7	6.271310368773966E-5	0	0	19.654537671232877	295.14981760986126	TPX2;CENPJ;PLK1;NUSAP1;BUB1B;BIRC5;BUB1
abnormal blastocyst morphology MP:0004957	6/22	6.476436364733652E-7	1.2002995395973035E-4	0	0	25.19411262798635	359.0142213256526	HSPA5;ESPL1;RACGAP1;CDK1;BUB1B;MCM10
abnormal cell cycle MP:0003077	11/112	9.544331186822653E-7	1.5919944419620188E-4	0	0	7.411991199119912	102.74612094637212	ASPM;CDK6;DIAPH3;PLK1;LMNA;FSCN1;BIRC5;MCM4;FOXM1;BUB1;MCM2
embryonic lethality before implantation, complete penetrance MP:0011094	12/143	1.6616026327387418E-6	2.51959381037111E-4	0	0	6.246243051307285	83.12330342329882	ORC6;PCNA;RAD51;RACGAP1;GMNN;CHEK1;PLK1;KIT;CDK1;BIRC5;ESCO2;DTL
absent inner cell mass proliferation MP:0012114	7/46	5.053481969144631E-6	7.024339937111037E-4	0	0	12.085879873551107	147.39253888970893	GINS1;CDC45;RAD51;HSPA5;CHEK1;MCM4;EZH2
abnormal double-strand DNA break repair MP:0010948	7/47	5.86247452771993E-6	7.522005778643726E-4	0	0	11.783133561643835	141.95068852587664	STIP1;BRIP1;EXO1;CENPJ;LMNA;TRIP13;BRCA2
