Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
E2F1 (mouse)	68/3056	3.8804552783349046E-4	0.10748861120987686	0	0	1.6465341887028635	12.932518184723289	KCNK5;SCARB1;STEAP3;DSCC1;GMNN;WDR41;MKI67;BRCA2;FADS2;CHAF1B;CHEK1;DNMT3B;KPNA2;BAHCC1;SOX4;DLGAP5;HIST1H1B;GUCY1A3;RFC3;MAMDC2;TRPC2;MELK;CCNE2;ESPL1;MCM4;B4GALT6;MCM2;FAM72A;PCNA;NFIX;CDCA4;UHRF1;CDCA7;NCAPG;NCAPH;ORC6;CDC45;ERI2;LMNA;HIST1H3H;CLSPN;HIST1H3B;E2F7;E2F8;GINS1;CDT1;GINS2;RRM2;PLK1;FAM46A;FANCA;IFT122;GGH;CDC6;DHFR;TPX2;CCDC88A;MEIS1;BMP1;TEC;STAR;WT1;PRC1;MAFG;HIST1H4J;TRIP13;ATP13A3;LRP12
E2F4 (human)	12/270	7.991478769134938E-4	0.1106819809525189	0	0	3.150960213921076	22.47253654992438	ARHGAP11A;CENPI;EXO1;UHRF1;CHEK1;TCP1;CDCA7;CDK1;HIST1H3H;PRTN3;FOXM1;E2F8
AHR (mouse)	15/454	0.0036285923633773065	0.3350400282185046	0	0	2.3174468221630464	13.0215262465431	TOP2A;TPM4;GPT2;ATAD2;TRPC2;IL18;NME4;CDC6;HMMR;HNRNPAB;CCNB1;CHAF1A;KIFC1;POLE2;TRIP13
NKX2-8 (human)	9/256	0.01523690829954929	0.9999888735286434	0	0	2.444311042859137	10.227082017519	IQCJ-SCHIP1;DIAPH3;RACGAP1;STAR;SLC17A9;IL18;EPDR1;GATA2;SLC27A2
BCL6 (human)	30/1399	0.029631592497845662	0.9999888735286434	0	0	1.4933973459041279	5.255137085990236	SUCNR1;CDCA7;MLC1;BUB1B;SLC1A3;HBD;TM7SF3;TFPI;CLU;RAD51AP1;CHAF1B;ORC6;PTTG1;EXO1;BTBD3;MYB;MAP7;PLK4;B3GALNT1;FAM46A;ERLIN1;IL18;EPDR1;SEPP1;SHCBP1;CCNA2;IGSF10;MELK;KIF20A;ERG
SMARCA2 (human)	32/1536	0.03549319063913	0.9999888735286434	0	0	1.4500757032432863	4.840953628926715	TOP2A;CDCA2;HIST2H2AA4;UHRF1;TM7SF3;FOXM1;TFPI;STIP1;MTHFD1L;BTBD3;STMN1;DNMT3B;MLEC;TK1;DLGAP5;CEP55;WDHD1;GPT2;ATAD2;CDC6;HNRNPAB;CCNA1;TWSG1;CENPF;DIAPH3;BMP1;CENPI;CDK1;BIRC5;HDGF;SPC25;FAM72A
PGR (human)	30/1447	0.04326167471732	0.9999888735286434	0	0	1.4390316208125968	4.5192617474132035	MLC1;HBD;BRCA2;IQGAP3;LTBP1;SPTA1;CHAF1B;CHAF1A;BTBD3;STMN1;MRC1;MAP7;CTSG;WHSC1;FANCI;H2AFY;ATAD2;AKR1C3;EPDR1;ESCO2;SEPP1;CIT;TPX2;UCK2;CENPF;LOC81691;DIAPH3;PRC1;KIF4A;CDK1
THRB (human)	40/2034	0.04377784310873501	0.9999888735286434	0	0	1.3714502581102381	4.290756930265413	SCARB1;STEAP3;PCNA;UHRF1;TROAP;SMC4;FADS2;PTTG1;ERI2;STMN1;NT5DC3;DNMT3B;PSMD1;CLSPN;IGF2BP2;PLTP;CEP55;VAT1;GINS1;CDT1;STIL;RRM2;PRSS57;CMBL;ATP1B1;HNRNPAB;CDC25A;DHFR;ANLN;MELK;BMP1;RAD51;CCNE2;ESPL1;TFR2;KIFC1;MAFG;RAB13;TRIP13;EZH2
HIF1A (human)	32/1586	0.05106935071972482	0.9999888735286434	0	0	1.3995632872037367	4.163100019604172	TFRC;TROAP;MCM10;GATA2;KIF15;CCNB1;CHAF1A;SLC22A16;ERI2;BSG;NT5DC3;PSMD1;CLSPN;PLTP;VAT1;GINS1;CDT1;PRELID2;STIL;HSPA5;FANCA;PRSS57;SCCPDH;RAD51;STAR;KIFC1;CENPJ;POLE2;RAB13;ATP13A3;EZH2;MCM2
En1 (mouse)	21/957	0.051466247389825144	0.9999888735286434	0	0	1.5144230769230769	4.493034418985603	KCNK5;SCARB1;CKAP2L;CDCA5;MLC1;EMP1;HMGB3;TYMS;RAD51AP1;CHAF1B;CENPF;CAPN11;MEIS1;TEC;SLC17A9;KDELC1;NRG4;POLE2;BIRC5;CYTL1;IGF2BP2
