Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Type II interferon signaling (IFNG) WP619	5/37	2.1267356906455294E-4	0.02514718920397605	0	0	10.453337585034014	88.39083131399302	IRF2;TAP1;IRF9;JAK1;PSMB9
Glioblastoma signaling pathways WP2261	7/82	2.269666039027772E-4	0.02514718920397605	0	0	6.273150684931507	52.63617357136756	CDKN1B;AKT3;PIK3CD;ATM;PRKCZ;FOXO1;IGF1R
DNA damage response (only ATM dependent) WP710	8/110	2.4898207132649557E-4	0.02514718920397605	0	0	5.2823933697190215	43.83398513295572	RBL2;CDKN1B;AKT3;PIK3CD;ATM;PPP2R5C;PIK3R5;NFKB2
Immune response to tuberculosis WP4197	4/23	3.4638922096818684E-4	0.025425952767642493	0	0	14.046030330062445	111.91803224010727	MX1;TAP1;IRF9;JAK1
Hepatitis B infection WP4666	9/152	4.8039339536954165E-4	0.025425952767642493	0	0	4.244562334217506	32.43229847934184	DDX58;AKT3;PIK3CD;IRAK4;JAK3;TIRAP;JAK1;TGFBR2;MAPK13
Insulin Signaling WP481	9/160	6.958555469333746E-4	0.025425952767642493	0	0	4.018040648549897	29.21263602905699	EHD1;MINK1;RAPGEF1;PIK3CD;PRKCZ;FOXO1;VAMP2;IGF1R;MAPK13
Ebola Virus Pathway on Host WP4217	8/129	7.260915161591314E-4	0.025425952767642493	0	0	4.448609809434552	32.153815438843736	DDX58;RASA2;ICAM3;HLA-C;PIK3CD;HLA-F;IGF1R;NFKB2
Rett syndrome causing genes WP4312	5/48	7.307002871810088E-4	0.025425952767642493	0	0	7.774877392817592	56.14633296363171	MECP2;CDKL5;TBL1X;HIVEP2;SYNE2
Interactions between immune cells and microRNAs in tumor microenvironment WP4559	4/28	7.552263198309652E-4	0.025425952767642493	0	0	11.116949152542373	79.91411219015872	IL4R;IRAK4;NFKB2;TGFBR2
Type I interferon induction and signaling during SARS-CoV-2 infection WP4868	4/31	0.0011204626748540756	0.03395001904807849	0	0	9.880225988700564	67.12638950543031	DDX58;IRAK4;IRF9;JAK1
miRNA regulation of prostate cancer signaling pathways WP3981	4/33	0.0014234063934448278	0.0392083761103439	0	0	9.197895967270602	60.28947087682412	CDKN1B;AKT3;PLCL2;FOXO1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	12/303	0.0021248580965090337	0.053652666936853104	0	0	2.7888932792126155	17.162989401541484	CRTC2;GNG2;CDKN1B;IL4R;AKT3;PIK3CD;PPP2R5C;JAK3;FOXO1;JAK1;IGF1R;PIK3R5
Thyroid stimulating hormone (TSH) signaling pathway WP2032	5/66	0.0030665869351291985	0.06486804785064663	0	0	5.47563287610126	31.688528280625498	RBL2;CDKN1B;GNG2;IGF1R;JAK1
Metabolism of Spingolipids in ER and Golgi apparatus WP4142	3/20	0.0031229910196270286	0.06486804785064663	0	0	11.735294117647058	67.7004901888756	CERK;ST6GALNAC3;SGPP1
Somatroph axis (GH) and its relationship to dietary restriction and aging WP4186	2/6	0.0032112894975567644	0.06486804785064663	0	0	33.15993265993266	190.37391605441363	FOXO1;IGF1R
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	5/71	0.004206156780080462	0.07521113999421622	0	0	5.059523809523809	27.681696654748816	PRKCZ;IFI44L;JAK1;NFKB2;MAPK13
Non-small cell lung cancer WP4255	5/72	0.004465923924699794	0.07521113999421622	0	0	4.983754695908214	26.968487924696287	EML4;RASSF5;AKT3;PIK3CD;JAK3
Toll-like Receptor Signaling Pathway WP75	6/103	0.00452180320622311	0.07521113999421622	0	0	4.138629886351642	22.34381889015757	AKT3;PIK3CD;IRAK4;TIRAP;PIK3R5;MAPK13
Head and Neck Squamous Cell Carcinoma WP4674	5/73	0.0047369137498158445	0.07521113999421622	0	0	4.910214085634253	26.281279928601652	AKT3;IGF1R;TGFBR2;PIK3R5;NFKB2
Regulation of toll-like receptor signaling pathway WP1449	7/139	0.004964431682786549	0.07521113999421622	0	0	3.5539383561643834	18.855265184324594	AKT3;PIK3CD;IRAK4;TIRAP;PIK3R5;NFKB2;MAPK13
Sphingolipid Metabolism (general overview) WP4725	3/24	0.005305741770795712	0.07655427412148098	0	0	9.498069498069498	49.760060239165455	CERS4;CERK;SGPP1
Sphingolipid Metabolism (integrated pathway) WP4726	3/25	0.00596334474840099	0.0785605851637174	0	0	9.065878378378379	46.4365510101936	CERS4;CERK;SGPP1
IL-7 signaling pathway WP205	3/25	0.00596334474840099	0.0785605851637174	0	0	9.065878378378379	46.4365510101936	CDKN1B;JAK3;JAK1
Ras signaling WP4223	8/184	0.00660513878182521	0.08338987712054327	0	0	3.049828178694158	15.309854828238937	GNG2;RASA3;RASSF5;AKT3;RASA2;PIK3CD;RASGRP1;IGF1R
Nanoparticle-mediated activation of receptor signaling WP2643	3/28	0.008218779389797492	0.09666770244317964	0	0	7.976756756756757	38.29907002517975	AKT3;PIK3CD;MAPK13
IL-4 signaling pathway WP395	4/54	0.008613953683055613	0.09666770244317964	0	0	5.329084745762712	25.33645060438451	IL4R;PIK3CD;JAK3;JAK1
Interferon type I signaling pathways WP585	4/54	0.008613953683055613	0.09666770244317964	0	0	5.329084745762712	25.33645060438451	RAPGEF1;PIK3CD;IRF9;JAK1
Type III interferon signaling WP2113	2/10	0.009260487378632035	0.10021170270448237	0	0	16.576599326599325	77.61161482377749	IRF9;JAK1
Toll-like Receptor Signaling related to MyD88 WP3858	3/31	0.010912583235150743	0.10614400736290729	0	0	7.12101833976834	32.171612454868864	IRAK4;TIRAP;NFKB2
SARS coronavirus and innate immunity WP4912	3/31	0.010912583235150743	0.10614400736290729	0	0	7.12101833976834	32.171612454868864	DDX58;IRF9;JAK1
MET in type 1 papillary renal cell carcinoma WP4205	4/59	0.011699987450841992	0.10614400736290729	0	0	4.843389830508475	21.544209281153368	AKT3;RAPGEF1;PIK3CD;JAK3
ErbB signaling pathway WP673	5/91	0.011817610558135348	0.10614400736290729	0	0	3.878935295048252	17.21535269108542	CDKN1B;AKT3;NCK2;PIK3CD;FOXO1
